codec_a,codec_b,seq,bd_rate,bd_rate_valid,bd_rate_e,bd_rate_e_valid,bd_rate_e_bins,bd_volume,bd_volume_valid,overlap_d,overlap_e_dec,pareto_hv,pareto_hv_valid,epsilon,epsilon_valid
dcvc_dc,dcvc_fm,Beauty,-18.034729378652813,True,,False,0,,False,0,0,-0.15468315512893446,True,0.004839586669071028,True
dcvc_dc,dcvc_rt,Beauty,-19.55524262481827,True,,False,0,,False,0,0,0.9696276413583671,True,0.020965297403078564,True
dcvc_dc,dcvc_rt_cuda,Beauty,-19.314349502402706,True,,False,0,,False,0,0,0.9731462954916535,True,0.021390538753178312,True
dcvc_dc,svtav1,Beauty,106.7369022603355,True,,False,0,,False,0,0,0.9801229749106186,True,0.09676193692742863,True
dcvc_dc,vvenc,Beauty,6.170605209425695,True,,False,0,,False,0,0,0.9758411600687751,True,0.03756253661412051,True
dcvc_dc,x264,Beauty,332.22469914234097,True,,False,0,,False,0,0,0.9821144581566824,True,0.20211189495339726,True
dcvc_dc,x265,Beauty,140.4091509185384,True,,False,0,,False,0,0,0.9838747663949248,True,0.1590230014190857,True
dcvc_fm,dcvc_dc,Beauty,22.002891275705515,True,,False,0,,False,0,0,0.15468315512893446,True,0.41785746990976197,True
dcvc_fm,dcvc_rt,Beauty,-1.8079337758124647,True,,False,0,,False,0,0,0.9743257336217624,True,0.04802519661061111,True
dcvc_fm,dcvc_rt_cuda,Beauty,-0.8856118012453118,True,,False,0,,False,0,0,0.9773001112319046,True,0.05137139960809143,True
dcvc_fm,svtav1,Beauty,150.4083669478419,True,,False,0,,False,0,0,0.9831976158660212,True,0.4665904012836098,True
dcvc_fm,vvenc,Beauty,26.85615921786173,True,,False,0,,False,0,0,0.9795781256535918,True,0.1694582850243036,True
dcvc_fm,x264,Beauty,531.3727831048566,True,,False,0,,False,0,0,0.9848810502001973,True,0.4408330103744047,True
dcvc_fm,x265,Beauty,229.6609373895116,True,,False,0,,False,0,0,0.9863690684061489,True,0.34138165091669,True
dcvc_rt,dcvc_dc,Beauty,24.30890870068223,True,,False,0,,False,0,0,-0.9696276413583671,True,0.36983227329915086,True
dcvc_rt,dcvc_fm,Beauty,1.8412218474807007,True,,False,0,,False,0,0,-0.9743257336217624,True,0.31996635380000793,True
dcvc_rt,dcvc_rt_cuda,Beauty,0.9859187872514052,True,,False,0,,False,0,0,0.11585053945936244,True,0.00334620299748032,True
dcvc_rt,svtav1,Beauty,147.73589636525662,True,,False,0,,False,0,0,0.34555543334935335,True,0.4185652046729987,True
dcvc_rt,vvenc,Beauty,26.7935680702198,True,,False,0,,False,0,0,0.20457807652418075,True,0.12143308841369249,True
dcvc_rt,x264,Beauty,541.014380426121,True,,False,0,,False,0,0,0.4111243695509014,True,0.3928078137637936,True
