codec,seq,bitrate_mbps,vmaf,psnr_y,time_s,energy_kJ
x264,Beauty,4.645,68.242,37.45,1.5939999999999999,0.141928
x264,Bosphorus,4.577,72.999,37.21,1.546,0.141366
x264,HoneyBee,0.918,78.148,38.774,1.352,0.09832900000000001
x264,Jockey,6.438,82.915,38.834,1.807,0.16089599999999998
x264,ReadySteadyGo,9.893,89.974,34.916,1.858,0.17917000000000002
x264,ShakeNDry,6.551,67.464,35.231,0.873,0.07018100000000001
x264,YachtRide,12.643,70.793,34.184,2.215,0.222176
x265,Beauty,3.581,73.995,38.228,5.587,0.387899
x265,Bosphorus,4.301,80.028,38.907,5.943,0.398786
x265,HoneyBee,0.472,77.601,39.271,3.003,0.191002
x265,Jockey,4.06,87.471,40.064,5.689,0.43206100000000003
x265,ReadySteadyGo,9.985,96.317,37.043,7.156,0.503675
x265,ShakeNDry,8.134,73.761,36.811,3.267,0.231652
x265,YachtRide,15.185,79.409,36.147,9.295,0.6448370000000001
svtav1,Beauty,10.439,85.249,39.387,15.363999999999999,0.8025869999999999
svtav1,Bosphorus,8.519,88.936,41.481,15.274000000000001,0.7074320000000001
svtav1,HoneyBee,0.926,91.39,42.432,8.679,0.43203
svtav1,Jockey,8.806,96.527,42.533,16.310000000000002,0.772796
svtav1,ReadySteadyGo,21.479,99.846,41.039,24.787000000000003,1.072823
svtav1,ShakeNDry,17.794,87.862,40.113,7.668,0.3743
svtav1,YachtRide,36.853,93.695,40.064,29.849,1.365517
vvenc,Beauty,1.72,75.017,38.516,97.11500000000001,6.900786
vvenc,Bosphorus,2.979,86.608,41.187,121.851,7.489549
vvenc,HoneyBee,0.755,92.046,42.642,42.799,3.2002239999999995
vvenc,Jockey,2.033,87.074,40.622,85.238,6.551411
vvenc,ReadySteadyGo,4.117,94.89,36.78,131.19,9.593117
vvenc,ShakeNDry,3.942,79.299,37.661,56.22,4.318208
vvenc,YachtRide,6.737,75.889,35.232,176.366,13.5305
dcvc_dc,Beauty,1.421,73.201,38.267,216.323,75.58824
dcvc_dc,Bosphorus,1.734,77.773,38.521,216.275,73.531022
dcvc_dc,HoneyBee,0.475,85.346,40.669,216.309,72.752557
dcvc_dc,Jockey,2.834,83.595,39.643,216.372,75.15040499999999
dcvc_dc,ReadySteadyGo,4.461,96.368,37.248,216.279,73.315393
dcvc_dc,ShakeNDry,2.803,72.311,36.424,108.107,34.412971
dcvc_dc,YachtRide,6.345,76.364,35.61,216.301,73.828711
dcvc_fm,Beauty,1.267,74.26,38.294,179.574,70.88546099999999
dcvc_fm,Bosphorus,1.619,79.357,38.737,179.532,70.732723
dcvc_fm,HoneyBee,0.404,87.165,41.054,179.67,72.356342
dcvc_fm,Jockey,3.108,81.602,39.332,180.038,72.542923
dcvc_fm,ReadySteadyGo,4.464,96.545,37.214,180.014,72.753829
dcvc_fm,ShakeNDry,2.446,72.977,36.434,89.896,32.639325
dcvc_fm,YachtRide,5.884,76.536,35.481,179.412,70.474621
dcvc_rt,Beauty,1.556,76.775,38.599,32.283,9.402296
dcvc_rt,Bosphorus,2.88,84.866,40.291,32.227,9.683468000000001
dcvc_rt,HoneyBee,0.893,91.394,42.268,32.316,9.617794
dcvc_rt,Jockey,3.328,85.525,40.014,32.249,9.765491
dcvc_rt,ReadySteadyGo,6.572,96.951,37.684,32.259,9.718779
dcvc_rt,ShakeNDry,3.782,77.192,37.333,16.165,4.295996
dcvc_rt,YachtRide,7.777,80.564,36.388,32.216,9.363063
dcvc_rt_cuda,Beauty,1.56,76.779,38.598,26.014,6.995659
dcvc_rt_cuda,Bosphorus,2.882,84.892,40.29,26.028,7.075972
dcvc_rt_cuda,HoneyBee,0.898,91.4,42.271,26.035,7.012474
dcvc_rt_cuda,Jockey,3.33,85.512,40.014,26.066,7.014518
dcvc_rt_cuda,ReadySteadyGo,6.575,96.954,37.682,26.183999999999997,7.150648
dcvc_rt_cuda,ShakeNDry,3.786,77.21,37.335,13.068,3.261856
dcvc_rt_cuda,YachtRide,7.776,80.541,36.387,26.172,7.126
