file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-100032-A-0.wav,esc50,Opus,48.0,6.87,4.6115,0.2358,-0.1115,11.76,OK
1-100038-A-14.wav,esc50,Opus,12.0,12.93,3.0509,5.7986,1.4491,34.24,OK
1-100210-A-36.wav,esc50,EnCodec,1.5,1.5,4.2047,6.3557,0.2953,10.3,OK
1-100210-B-36.wav,esc50,Opus,24.0,23.61,4.0135,2.7894,0.4865,35.85,OK
1-101296-A-19.wav,esc50,Opus,24.0,21.38,4.0884,3.2333,0.4116,35.13,OK
1-101296-B-19.wav,esc50,Opus,24.0,22.22,4.1263,3.1299,0.3737,35.82,OK
1-101336-A-30.wav,esc50,Opus,24.0,18.16,4.4414,2.0337,0.0586,33.56,OK
1-101404-A-34.wav,esc50,Opus,24.0,18.89,4.2656,2.1563,0.2344,18.95,OK
1-103298-A-9.wav,esc50,Opus,24.0,22.82,3.8939,3.071,0.6061,36.03,OK
1-103995-A-30.wav,esc50,Opus,48.0,18.19,4.2531,0.6748,0.2469,14.51,OK
1-103999-A-30.wav,esc50,Opus,48.0,16.98,4.5498,0.5915,-0.0498,14.17,OK
1-104089-A-22.wav,esc50,Opus,12.0,11.5,3.7101,3.9012,0.7899,33.52,OK
1-104089-B-22.wav,esc50,Opus,12.0,11.35,3.6156,4.0685,0.8844,33.53,OK
1-105224-A-22.wav,esc50,Opus,24.0,22.81,4.228,3.1674,0.272,35.25,OK
1-110389-A-0.wav,esc50,Opus,24.0,11.14,4.321,0.8259,0.179,30.69,OK
1-110537-A-22.wav,esc50,Opus,12.0,12.67,1.0,2.741,3.5,33.51,OK
1-115521-A-19.wav,esc50,Opus,24.0,20.83,4.3124,1.2842,0.1876,34.27,OK
1-115545-A-48.wav,esc50,Opus,24.0,20.4,4.0993,2.8653,0.4007,35.68,OK
1-115545-B-48.wav,esc50,Opus,24.0,19.38,4.3511,1.7227,0.1489,21.47,OK
1-115545-C-48.wav,esc50,Opus,24.0,21.43,4.2693,2.1279,0.2307,35.12,OK
1-115546-A-48.wav,esc50,Opus,24.0,21.39,4.3998,2.0313,0.1002,35.77,OK
