file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
174-168635-0005.flac,librispeech,Opus,12,12.15,3.9462,3.0338,0.5538,59.21,OK
174-168635-0005.flac,librispeech,Opus,24,23.78,4.5012,2.0444,-0.0012,63.95,OK
174-168635-0005.flac,librispeech,Opus,48,47.91,4.5452,1.7636,-0.0452,68.39,OK
174-168635-0005.flac,librispeech,EnCodec,1.5,1.5,1.656,6.2661,2.844,280.02,OK
174-168635-0005.flac,librispeech,EnCodec,3.0,3.0,2.1583,5.4117,2.3417,16.48,OK
174-168635-0005.flac,librispeech,EnCodec,6.0,6.0,2.7105,4.611,1.7895,16.53,OK
174-168635-0006.flac,librispeech,Opus,12,12.04,4.0768,3.0778,0.4232,52.98,OK
174-168635-0006.flac,librispeech,Opus,24,23.39,4.3696,2.3135,0.1304,54.2,OK
174-168635-0006.flac,librispeech,Opus,48,47.24,4.562,2.0299,-0.062,57.41,OK
174-168635-0006.flac,librispeech,EnCodec,1.5,1.5,1.5451,7.6443,2.9549,26.73,OK
174-168635-0006.flac,librispeech,EnCodec,3.0,3.0,2.1702,6.6795,2.3298,13.86,OK
174-168635-0006.flac,librispeech,EnCodec,6.0,6.0,2.8336,5.905,1.6664,14.35,OK
174-168635-0007.flac,librispeech,Opus,12,12.2,3.9893,3.1567,0.5107,71.3,OK
174-168635-0007.flac,librispeech,Opus,24,23.82,4.5254,2.2235,-0.0254,72.2,OK
174-168635-0007.flac,librispeech,Opus,48,47.8,4.5655,1.9343,-0.0655,76.98,OK
174-168635-0007.flac,librispeech,EnCodec,1.5,1.5,1.4481,7.0755,3.0519,30.9,OK
174-168635-0007.flac,librispeech,EnCodec,3.0,3.0,1.9881,6.2128,2.5119,20.69,OK
174-168635-0007.flac,librispeech,EnCodec,6.0,6.0,2.9071,5.4471,1.5929,20.63,OK
174-168635-0016.flac,librispeech,Opus,12,12.26,4.0084,3.0826,0.4916,54.98,OK
174-168635-0016.flac,librispeech,Opus,24,23.92,4.5345,2.2427,-0.0345,56.35,OK
174-168635-0016.flac,librispeech,Opus,48,47.93,4.5606,1.944,-0.0606,59.74,OK
174-168635-0016.flac,librispeech,EnCodec,1.5,1.5,1.6206,7.2981,2.8794,27.18,OK
174-168635-0016.flac,librispeech,EnCodec,3.0,3.0,1.7804,6.3338,2.7196,14.54,OK
174-168635-0016.flac,librispeech,EnCodec,6.0,6.0,2.129,5.3884,2.371,14.34,OK
174-168635-0018.flac,librispeech,Opus,12,11.98,4.0691,2.9476,0.4309,155.31,OK
174-168635-0018.flac,librispeech,Opus,24,23.45,4.5343,2.0327,-0.0343,155.2,OK
174-168635-0018.flac,librispeech,Opus,48,47.46,4.575,1.731,-0.075,171.47,OK
174-168635-0018.flac,librispeech,EnCodec,1.5,1.5,1.447,6.5975,3.053,68.81,OK
174-168635-0018.flac,librispeech,EnCodec,3.0,3.0,1.8476,5.6207,2.6524,53.52,OK
174-168635-0018.flac,librispeech,EnCodec,6.0,6.0,2.2465,4.7878,2.2535,53.53,OK
174-168635-0004.flac,librispeech,Opus,12,12.21,3.9678,3.0747,0.5322,82.47,OK
174-168635-0004.flac,librispeech,Opus,24,23.76,4.5018,2.2124,-0.0018,84.98,OK
174-168635-0004.flac,librispeech,Opus,48,47.78,4.5449,1.91,-0.0449,92.42,OK
174-168635-0004.flac,librispeech,EnCodec,1.5,1.5,1.4644,6.431,3.0356,36.77,OK
174-168635-0004.flac,librispeech,EnCodec,3.0,3.0,1.8964,5.4076,2.6036,25.43,OK
174-168635-0004.flac,librispeech,EnCodec,6.0,6.0,2.5775,4.6619,1.9225,25.7,OK
174-168635-0021.flac,librispeech,Opus,12,12.07,3.841,3.001,0.659,41.38,OK
174-168635-0021.flac,librispeech,Opus,24,23.18,4.4132,2.2057,0.0868,30.22,OK
174-168635-0021.flac,librispeech,Opus,48,46.91,4.4998,1.8967,0.0002,32.47,OK
174-168635-0021.flac,librispeech,EnCodec,1.5,1.5,1.621,7.5075,2.879,19.99,OK
174-168635-0021.flac,librispeech,EnCodec,3.0,3.0,2.1637,6.5781,2.3363,9.05,OK
174-168635-0021.flac,librispeech,EnCodec,6.0,6.0,2.6927,5.9697,1.8073,8.92,OK
174-168635-0011.flac,librispeech,Opus,12,12.33,4.0678,3.1221,0.4322,31.63,OK
174-168635-0011.flac,librispeech,Opus,24,23.78,4.5129,2.1821,-0.0129,32.48,OK
174-168635-0011.flac,librispeech,Opus,48,47.61,4.5646,1.8497,-0.0646,34.82,OK
174-168635-0011.flac,librispeech,EnCodec,1.5,1.5,1.7142,6.8352,2.7858,22.04,OK
174-168635-0011.flac,librispeech,EnCodec,3.0,3.0,2.1595,5.7434,2.3405,9.88,OK
174-168635-0011.flac,librispeech,EnCodec,6.0,6.0,3.1503,4.9034,1.3497,9.82,OK
174-168635-0019.flac,librispeech,Opus,12,12.3,4.1615,3.0387,0.3385,48.94,OK
174-168635-0019.flac,librispeech,Opus,24,23.84,4.5457,2.1313,-0.0457,60.66,OK
174-168635-0019.flac,librispeech,Opus,48,48.07,4.5821,1.8537,-0.0821,65.97,OK
174-168635-0019.flac,librispeech,EnCodec,1.5,1.5,1.4241,6.9562,3.0759,24.51,OK
174-168635-0019.flac,librispeech,EnCodec,3.0,3.0,1.8017,6.1072,2.6983,16.31,OK
174-168635-0019.flac,librispeech,EnCodec,6.0,6.0,2.2807,5.3112,2.2193,16.72,OK
174-168635-0000.flac,librispeech,Opus,12,12.09,4.0414,3.0147,0.4586,45.38,OK
174-168635-0000.flac,librispeech,Opus,24,23.5,4.474,2.1721,0.026,33.31,OK
174-168635-0000.flac,librispeech,Opus,48,47.16,4.5603,1.8826,-0.0603,34.28,OK
174-168635-0000.flac,librispeech,EnCodec,1.5,1.5,1.5407,7.4156,2.9593,17.91,OK
174-168635-0000.flac,librispeech,EnCodec,3.0,3.0,1.8904,6.4044,2.6096,10.24,OK
174-168635-0000.flac,librispeech,EnCodec,6.0,6.0,2.2513,5.4914,2.2487,9.88,OK
174-168635-0009.flac,librispeech,Opus,12,11.82,4.0211,2.9787,0.4789,24.87,OK
174-168635-0009.flac,librispeech,Opus,24,22.82,4.5424,2.2484,-0.0424,25.3,OK
174-168635-0009.flac,librispeech,Opus,48,46.07,4.5674,1.9274,-0.0674,26.94,OK
174-168635-0009.flac,librispeech,EnCodec,1.5,1.5,1.734,7.5874,2.766,12.94,OK
174-168635-0009.flac,librispeech,EnCodec,3.0,3.0,2.2729,6.5253,2.2271,6.45,OK
174-168635-0009.flac,librispeech,EnCodec,6.0,6.0,3.0502,6.1298,1.4498,6.67,OK
174-168635-0012.flac,librispeech,Opus,12,12.34,3.9441,3.0979,0.5559,50.78,OK
174-168635-0012.flac,librispeech,Opus,24,24.05,4.5185,2.3301,-0.0185,63.03,OK
174-168635-0012.flac,librispeech,Opus,48,48.05,4.572,2.0349,-0.072,68.61,OK
174-168635-0012.flac,librispeech,EnCodec,1.5,1.5,1.5395,7.0402,2.9605,25.14,OK
174-168635-0012.flac,librispeech,EnCodec,3.0,3.0,2.0589,5.9318,2.4411,16.91,OK
174-168635-0012.flac,librispeech,EnCodec,6.0,6.0,2.8114,5.3057,1.6886,17.3,OK
174-168635-0003.flac,librispeech,Opus,12,12.16,3.9564,3.1716,0.5436,86.66,OK
174-168635-0003.flac,librispeech,Opus,24,23.75,4.4875,2.2499,0.0125,86.08,OK
174-168635-0003.flac,librispeech,Opus,48,47.76,4.5654,1.9399,-0.0654,94.85,OK
174-168635-0003.flac,librispeech,EnCodec,1.5,1.5,1.5041,7.1101,2.9959,37.84,OK
174-168635-0003.flac,librispeech,EnCodec,3.0,3.0,2.1177,6.2579,2.3823,25.92,OK
174-168635-0003.flac,librispeech,EnCodec,6.0,6.0,2.7776,5.4507,1.7224,26.33,OK
174-168635-0002.flac,librispeech,Opus,12,12.19,4.0489,3.132,0.4511,98.58,OK
174-168635-0002.flac,librispeech,Opus,24,23.82,4.5131,2.1863,-0.0131,100.55,OK
174-168635-0002.flac,librispeech,Opus,48,47.97,4.5623,1.8938,-0.0623,110.24,OK
174-168635-0002.flac,librispeech,EnCodec,1.5,1.5,1.5517,6.6177,2.9483,42.03,OK
174-168635-0002.flac,librispeech,EnCodec,3.0,3.0,1.9107,5.7789,2.5893,32.64,OK
174-168635-0002.flac,librispeech,EnCodec,6.0,6.0,2.3556,5.0848,2.1444,32.2,OK
174-168635-0014.flac,librispeech,Opus,12,11.96,4.0495,2.9998,0.4505,45.71,OK
174-168635-0014.flac,librispeech,Opus,24,23.11,4.517,2.1563,-0.017,33.72,OK
174-168635-0014.flac,librispeech,Opus,48,46.99,4.5698,1.8475,-0.0698,36.95,OK
174-168635-0014.flac,librispeech,EnCodec,1.5,1.5,1.8138,6.9873,2.6862,18.0,OK
174-168635-0014.flac,librispeech,EnCodec,3.0,3.0,2.3813,6.1547,2.1187,10.7,OK
