file,dataset,codec,param,pesq,stoi,sdr,mel_dist,duration_s
1-121951-A-8,esc50,WavTokenizer,0.9,1.3935,0.308,-0.6849,0.7388,5.0
1-172649-B-40,esc50,WavTokenizer,0.9,1.0649,0.1643,-0.6081,0.6,5.0
1-17742-A-12,esc50,WavTokenizer,0.9,1.1158,0.3791,-1.5716,0.5633,5.0
1-18074-A-6,esc50,WavTokenizer,0.9,1.6524,0.7358,-0.634,0.7005,5.0
1-208757-A-2,esc50,WavTokenizer,0.9,1.3084,0.503,-0.1501,0.7683,5.0
1-24074-A-43,esc50,WavTokenizer,0.9,1.3803,0.2713,-1.4679,0.9618,5.0
1-24524-C-19,esc50,WavTokenizer,0.9,1.411,0.5659,-0.4448,0.5471,5.0
1-51436-A-17,esc50,WavTokenizer,0.9,1.3149,0.4295,-1.3161,1.1372,5.0
1-51805-E-33,esc50,WavTokenizer,0.9,1.4182,0.5289,-1.6024,0.816,5.0
1-60460-A-36,esc50,WavTokenizer,0.9,1.0747,0.0654,-1.0465,0.5994,5.0
1-62509-A-45,esc50,WavTokenizer,0.9,1.2447,0.351,-1.1125,0.5431,5.0
1-64473-A-45,esc50,WavTokenizer,0.9,1.1767,0.1761,2.9076,0.5924,5.0
1-79146-A-29,esc50,WavTokenizer,0.9,1.2399,0.7503,-1.6754,2.4303,5.0
1462-170138-0000,librispeech,WavTokenizer,0.9,1.9034,0.8721,4.8918,1.439,10.0
1673-143397-0008,librispeech,WavTokenizer,0.9,2.0824,0.8612,4.0594,1.5563,4.28
1919-142785-0028,librispeech,WavTokenizer,0.9,1.8691,0.8716,2.2703,1.5421,5.16
1988-147956-0022,librispeech,WavTokenizer,0.9,1.7279,0.8159,1.2001,1.3436,7.54
1988-24833-0015,librispeech,WavTokenizer,0.9,1.7968,0.8639,1.3075,1.3382,4.75
2-102581-A-29,esc50,WavTokenizer,0.9,1.8588,0.5708,-0.101,3.83,5.0
2-103424-A-3,esc50,WavTokenizer,0.9,1.6407,0.3889,0.3532,3.6017,5.0
