dataset,codec,param,image,width,height,pixels,bpp,pipeline,time_ms,energy_total_j_x,energy_net_j,params_M,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,file_bytes,time_compress_ms,time_decompress_ms,energy_compress_j,energy_decompress_j,vram_enc_mb,vram_dec_mb,note,eval_dataset,energy_pipeline,energy_per_image_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_total_j_y,total_time_s,energy_n_images,n_repeats
kodak,Ballé,q=1,kodim01.png,768.0,512.0,393216.0,0.203857421875,actual_bitstream,124.39981100033036,,,5.076,25.342357635498047,0.8395010828971863,0.915947437286377,0.3994208872318268,0.1864347457885742,0.920950710773468,0.1041776239871978,0.3381927013397217,0.7048181891441345,0.7465612292289734,0.3331011831760406,0.8816802289004357,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim02.png,768.0,512.0,393216.0,0.0884602864583333,actual_bitstream,27.9220649972558,,,5.076,29.017433166503903,0.8056219816207886,0.8861069679260254,0.4368354082107544,0.2198824882507324,0.8848973512649536,0.1081691905856132,0.3242949247360229,0.7038916945457458,0.6530923843383789,0.3302613496780395,-10.28237105040023,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim03.png,768.0,512.0,393216.0,0.0773111979166666,actual_bitstream,26.699092995841056,,,5.076,30.204465866088867,0.8855735659599304,0.9387595057487488,0.3029087483882904,0.1850852966308593,0.9167252779006958,0.0919054448604583,0.4425017237663269,0.7560652494430542,0.6943473815917969,0.3155874013900757,3.123488787207066,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim04.png,512.0,768.0,393216.0,0.093017578125,actual_bitstream,27.05911699740681,,,5.076,28.96870803833008,0.8210298418998718,0.901081085205078,0.4240609109401703,0.1647307872772216,0.9071474671363832,0.1129831746220588,0.4226303398609161,0.746213972568512,0.621678352355957,0.334467202425003,-8.690387132704245,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim05.png,768.0,512.0,393216.0,0.2394205729166666,actual_bitstream,27.256729008513503,,,5.076,24.811992645263672,0.855791449546814,0.9270358085632324,0.2563680410385132,0.1262097954750061,0.9328001737594604,0.100536823272705,0.3703473508358001,0.7253125905990601,0.7378807067871094,0.3319268226623535,0.9533075256021276,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim06.png,768.0,512.0,393216.0,0.146728515625,actual_bitstream,27.02223700180184,,,5.076,26.25118637084961,0.8134284019470215,0.8955063819885254,0.3877826929092407,0.1713945269584655,0.9133429527282716,0.1195002421736717,0.3084523379802704,0.7095897793769836,0.6403569579124451,0.3425650596618652,-16.49399263262339,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim07.png,768.0,512.0,393216.0,0.1217447916666666,actual_bitstream,26.25914900272619,,,5.076,29.040069580078125,0.9176281690597534,0.9546396136283876,0.2278554588556289,0.165319561958313,0.9388112425804138,0.0773224160075187,0.4620380401611328,0.7682502865791321,0.7958674430847168,0.3074919879436493,11.329838481970356,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim08.png,768.0,512.0,393216.0,0.2581380208333333,actual_bitstream,27.22652899683453,,,5.076,24.21298217773437,0.8848880529403687,0.9398776292800904,0.288280725479126,0.1575135588645935,0.9420386552810668,0.0984287485480308,0.3925288021564483,0.7496011257171631,0.7388429641723633,0.3284431397914886,7.536643095261638,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim09.png,512.0,768.0,393216.0,0.0927734375,actual_bitstream,26.481431996217,,,5.076,29.74306869506836,0.9168530702590942,0.951683521270752,0.30797278881073,0.1720253229141235,0.9351230263710022,0.0776925012469291,0.4149552583694458,0.7519267201423645,0.7725185751914978,0.2973115742206573,14.437084848469922,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
kodak,Ballé,q=1,kodim10.png,512.0,768.0,393216.0,0.099609375,actual_bitstream,26.36345000064466,,,5.076,29.306734085083008,0.8862028121948242,0.9349009394645692,0.3869999945163727,0.1989995241165161,0.9206551313400269,0.0922742933034896,0.4032375812530517,0.7375605702400208,0.7335655689239502,0.3181972503662109,3.364180405592492,,,,,,,,,kodak,actual_bitstream_energy,2.221519660547,0.520068120509,1.701451540038,266.582359266,3.132801832,24,5
