eval_dataset,codec,param,pipeline,n_images,n_repeats,avg_bpp,avg_psnr,rate_quality_source,total_time_s,energy_cpu_total_j,energy_gpu_total_j,energy_total_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_per_image_j,idle_cpu_w,idle_gpu_w,params_M,is_neural,execution_mode,jpeg_ai_root,conda_env
kodak,JPEG,q=10,end_to_end_energy,24,20,0.326588949,26.671799183,paper_ready,0.446729808,6.508984209,0.0,6.508984209,0.013560383769,0.0,0.013560383769,25.89448831,80.969227823,0.0,False,,,
kodak,JPEG,q=30,end_to_end_energy,24,20,0.659792582,30.491419633,paper_ready,0.531084382,7.61807065,0.0,7.61807065,0.01587098052,0.0,0.01587098052,25.840282289,81.109526411,0.0,False,,,
kodak,JPEG,q=60,end_to_end_energy,24,20,1.03658549,32.907484929,paper_ready,0.606303357,9.011517073,0.0,9.011517073,0.018773993903,0.0,0.018773993903,25.393108496,80.909911938,0.0,False,,,
kodak,JPEG,q=85,end_to_end_energy,24,20,1.856519063,36.461338202,paper_ready,0.743629402,11.01725579,0.0,11.01725579,0.022952616229,0.0,0.022952616229,25.289562461,80.968065251,0.0,False,,,
kodak,JXL,d=1.0,end_to_end_energy,24,10,1.702432421,37.894871076,paper_ready,7.24973253,137.157338129,0.0,137.157338129,0.571488908871,0.0,0.571488908871,21.097633635,38.285036929,0.0,False,,,
kodak,JXL,d=3.0,end_to_end_energy,24,10,0.743846469,33.257066806,paper_ready,6.585921776,129.936663692,0.0,129.936663692,0.541402765382,0.0,0.541402765382,20.552544034,37.884154022,0.0,False,,,
kodak,JXL,d=7.0,end_to_end_energy,24,10,0.368645562,29.713035186,paper_ready,8.305041195,167.410136786,0.0,167.410136786,0.697542236606,0.0,0.697542236606,20.601070988,37.374517457,0.0,False,,,
kodak,JXL,d=12.0,end_to_end_energy,24,10,0.236624824,27.856993437,paper_ready,8.068736063,165.994219758,0.0,165.994219758,0.691642582327,0.0,0.691642582327,20.431662029,37.920917489,0.0,False,,,
kodak,HEVC,crf=15,end_to_end_energy,24,3,3.477572971,44.514917374,paper_ready,9.171899093,306.450803752,0.0,306.450803752,4.256261163223,0.0,4.256261163223,20.423777273,37.476015644,0.0,False,,,
kodak,HEVC,crf=25,end_to_end_energy,24,3,1.504675123,38.630832672,paper_ready,6.884234541,241.536894114,0.0,241.536894114,3.354679084922,0.0,3.354679084922,20.651731872,37.900249677,0.0,False,,,
kodak,HEVC,crf=35,end_to_end_energy,24,3,0.54370202,32.437143962,paper_ready,5.142287887,182.627239821,0.0,182.627239821,2.53648944196,0.0,2.53648944196,20.493424424,37.525920029,0.0,False,,,
kodak,HEVC,crf=45,end_to_end_energy,24,3,0.160903083,26.928284089,paper_ready,4.040649575,149.864657759,0.0,149.864657759,2.08145357998,0.0,2.08145357998,20.481311657,37.814736551,0.0,False,,,
kodak,Ballé,q=1,actual_bitstream_energy,24,5,0.131293403,27.581509988,paper_ready,3.132801832,62.408174461,204.174184805,266.582359266,0.520068120509,1.701451540038,2.221519660547,25.156322284,81.130830747,5.075843,True,,,
kodak,Ballé,q=3,actual_bitstream_energy,24,5,0.319858127,30.972109715,paper_ready,3.272912823,64.66344917,210.12887156,274.79232073,0.538862076421,1.751073929664,2.289936006084,25.13553256,81.361815252,5.075843,True,,,
kodak,Ballé,q=5,actual_bitstream_energy,24,5,0.668684218,34.526117802,paper_ready,3.44470749,67.369386317,211.000945325,278.370331643,0.561411552643,1.758341211046,2.319752763689,25.281741029,81.005442547,5.075843,True,,,
kodak,Ballé,q=7,actual_bitstream_energy,24,5,1.259172228,38.58352375,paper_ready,5.407720049,103.933302002,391.519804441,495.453106443,0.866110850015,3.262665037007,4.128775887021,25.695931694,82.047737593,11.816323,True,,,
kodak,Cheng,q=1,actual_bitstream_energy,24,1,0.115580241,28.431125959,paper_ready,80.958801941,1454.96728994,2825.523689567,4280.490979506,60.623637080828,117.73015373194,178.353790812768,24.952428453,81.965903044,13.183293,True,,,
kodak,Cheng,q=3,actual_bitstream_energy,24,1,0.269032796,31.321256002,paper_ready,81.799413995,1495.659622453,2849.598743703,4345.258366156,62.319150935522,118.733280987637,181.052431923159,25.089509745,81.785968011,13.183293,True,,,
kodak,Cheng,q=5,actual_bitstream_energy,24,1,0.595272488,34.949443181,paper_ready,82.405012209,1476.392084083,3063.219547311,4539.611631394,61.516336836787,127.634147804616,189.150484641403,25.389739966,82.044541606,29.631788,True,,,
kodak,ELIC,lam=0.008,actual_bitstream_energy,24,3,0.073635525,27.489848614,paper_ready,9.718535786,255.602723293,879.393942362,1134.996665656,3.55003782352,12.213804755034,15.763842578555,25.45902759,81.854414611,33.792771,True,,,
kodak,ELIC,lam=0.032,actual_bitstream_energy,24,3,0.195010715,30.527337233,paper_ready,9.861672717,261.493225137,876.342982005,1137.836207143,3.63185034913,12.17143030563,15.803280654759,25.131253183,82.077456961,33.792771,True,,,
kodak,ELIC,lam=0.150,actual_bitstream_energy,24,3,0.497124566,34.489448309,paper_ready,10.086948573,265.057359422,878.858383019,1143.915742441,3.681352214196,12.20636643082,15.887718645015,25.118601205,82.09822931,33.792771,True,,,
kodak,ELIC,lam=0.450,actual_bitstream_energy,24,3,0.864888509,37.528818766,paper_ready,10.281203428,266.181382248,880.80887721,1146.990259457,3.696963642327,12.233456627916,15.930420270242,25.179483177,82.174730683,33.792771,True,,,
kodak,TCM,lam=0.0035,actual_bitstream_energy,24,3,0.204484728,30.855848312,paper_ready,7.441227502,134.775715926,1248.518695023,1383.294410949,1.87188494341,17.340537430879,19.212422374289,25.176111068,90.068245434,45.180752,True,,,
kodak,TCM,lam=0.013,actual_bitstream_energy,24,3,0.455457899,34.135727723,paper_ready,7.526497496,136.525770744,1255.507375348,1392.033146092,1.896191260334,17.437602435391,19.333793695725,25.196285571,89.753384627,45.180752,True,,,
kodak,DCAE,lam=0.0035,actual_bitstream_energy,24,3,0.176174588,30.737064759,paper_ready,7.502252105,138.196195946,1929.880635118,2068.076831065,1.919391610367,26.803897709974,28.723289320341,25.093933051,90.172971451,119.400351,True,,,
kodak,DCAE,lam=0.013,actual_bitstream_energy,24,3,0.427775065,34.407658736,paper_ready,7.601517956,139.28895559,1937.41962495,2076.708580541,1.934568827643,26.908605902087,28.84317472973,25.046473022,89.865389913,119.400351,True,,,
kodak,JPEG_AI,target_bpp=0.15,fair_inprocess_end_to_end_energy,24,1,0.157276577,27.840154409,paper_ready,94.285776888,1471.69984748,0.0,1471.69984748,61.320826978319,0.0,61.320826978319,24.725982322,79.95825662,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
kodak,JPEG_AI,target_bpp=0.25,fair_inprocess_end_to_end_energy,24,1,0.261030409,29.526641687,paper_ready,93.358319912,1857.119288315,19.871414039,1876.990702354,77.37997034644,0.827975584956,78.207945931396,20.037814235,36.192902669,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
kodak,JPEG_AI,target_bpp=0.35,fair_inprocess_end_to_end_energy,24,1,0.355022854,30.694165548,paper_ready,90.212409457,1789.200928957,0.0,1789.200928957,74.550038706539,0.0,74.550038706539,20.140652766,36.83357649,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
kodak,JPEG_AI,target_bpp=0.5,fair_inprocess_end_to_end_energy,24,1,0.507762485,32.175420841,paper_ready,92.156760073,1838.701301313,0.0,1838.701301313,76.612554221372,0.0,76.612554221372,19.911901756,36.753821436,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
kodak,JPEG_AI,target_bpp=0.75,fair_inprocess_end_to_end_energy,24,1,0.763457404,34.053568602,paper_ready,93.408732776,1859.224297443,0.0,1859.224297443,77.467679060135,0.0,77.467679060135,20.031586565,36.610643238,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
kodak,JPEG_AI,target_bpp=1.0,fair_inprocess_end_to_end_energy,24,1,1.002299839,35.364795129,paper_ready,94.837062191,1490.429767939,0.0,1490.429767939,62.101240330792,0.0,62.101240330792,25.072217624,80.287040646,0.0,True,persistent_python_process_reference_software,/home/user/tesi/external_codecs/jpeg-ai-reference-software,jpeg_ai_vm
tecnick,JPEG,q=10,end_to_end_energy,24,20,0.254598148,29.307346265,paper_ready,1.435629767,25.885912648,0.0,25.885912648,0.053928984683,0.0,0.053928984683,25.060108239,81.499821916,0.0,False,,,
tecnick,JPEG,q=30,end_to_end_energy,24,20,0.463640972,34.035719872,paper_ready,1.675532071,29.073472651,0.0,29.073472651,0.06056973469,0.0,0.06056973469,25.27345139,81.645731036,0.0,False,,,
tecnick,JPEG,q=60,end_to_end_energy,24,20,0.706314352,36.579166412,paper_ready,1.844320185,31.204440773,0.0,31.204440773,0.06500925161,0.0,0.06500925161,25.381744237,81.308487135,0.0,False,,,
tecnick,JPEG,q=85,end_to_end_energy,24,20,1.220063889,39.538661957,paper_ready,2.161948845,32.155373657,0.0,32.155373657,0.066990361785,0.0,0.066990361785,22.218336227,48.426303444,0.0,False,,,
tecnick,JXL,d=1.0,end_to_end_energy,24,10,0.865503472,39.673771699,paper_ready,22.120677788,442.115578747,0.0,442.115578747,1.842148244781,0.0,1.842148244781,20.618294865,38.946905034,0.0,False,,,
tecnick,JXL,d=3.0,end_to_end_energy,24,10,0.429364815,36.315925837,paper_ready,20.676414369,415.527081378,0.0,415.527081378,1.731362839074,0.0,1.731362839074,20.791529854,38.372588467,0.0,False,,,
