image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/abigail-keenan-27293.png,clic_train,Neural,4.0,0.2564,33.1652,0.3135,7561.07,OK
/home/user/tesi/datasets/clic2020/train/adam-przewoski-193.png,clic_train,JXL,3.0,0.2826,39.71,0.0809,67.88,OK
/home/user/tesi/datasets/clic2020/train/adam-willoughby-knox-56406.png,clic_train,JXL,7.0,0.293,28.82,0.1731,160.13,OK
/home/user/tesi/datasets/clic2020/train/afroz-nawaf-323.png,clic_train,Neural,4.0,0.37213,33.5293,0.18691,7637.13,OK
/home/user/tesi/datasets/clic2020/train/alberto-restifo-4549.png,clic_train,HEVC,25.0,0.40541,36.885,0.09966,2113.51,OK
/home/user/tesi/datasets/clic2020/train/alec-weir-22151.png,clic_train,JXL,3.0,0.4876,33.69,0.0503,107.21,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-1.png,clic_train,JXL,1.0,0.4485,43.77,0.0423,156.03,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-10.png,clic_train,JXL,1.0,0.4448,42.65,0.0363,161.58,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-2.png,clic_train,JXL,1.0,0.4204,43.38,0.046,155.17,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-23.png,clic_train,Neural,4.0,0.46191,32.3255,0.25486,9492.82,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-25.png,clic_train,Neural,4.0,0.4421,31.6991,0.10336,4179.48,OK
/home/user/tesi/datasets/clic2020/train/aleks-dorohovich-26.png,clic_train,JXL,3.0,0.3389,37.27,0.1547,114.75,OK
/home/user/tesi/datasets/clic2020/train/aleks-dorohovich-38.png,clic_train,JXL,7.0,0.4964,27.69,0.1789,140.14,OK
/home/user/tesi/datasets/clic2020/train/aleksandra-boguslawska-288.png,clic_train,Neural,2.0,0.31837,26.1901,0.4451,7497.71,OK
/home/user/tesi/datasets/clic2020/train/aleksi-tappura-445.png,clic_train,HEVC,25.0,0.43845,32.9678,0.40924,1896.65,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-1211.png,clic_train,JXL,7.0,0.3909,27.38,0.1738,155.23,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-2051.png,clic_train,Neural,2.0,0.34332,27.7844,0.22491,7550.22,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-26511.png,clic_train,Neural,4.0,0.3593,33.3137,0.18065,7698.61,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-2892.png,clic_train,Neural,2.0,0.34744,26.5516,0.34893,7336.89,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-3727.png,clic_train,JXL,7.0,0.4852,26.79,0.3287,154.74,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-3728.png,clic_train,JXL,7.0,0.3906,27.08,0.1325,154.42,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-434.png,clic_train,Neural,4.0,0.38978,32.9919,0.18978,7348.28,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-731.png,clic_train,Neural,4.0,0.32817,33.5123,0.19455,7363.23,OK
/home/user/tesi/datasets/clic2020/train/alex-siale-95113.png,clic_train,JXL,7.0,0.3626,27.31,0.3323,148.13,OK
/home/user/tesi/datasets/clic2020/train/alex-talmon-192.png,clic_train,JXL,7.0,0.3546,27.02,0.3255,55.64,OK
/home/user/tesi/datasets/clic2020/train/alex-wong-17993.png,clic_train,JXL,12.0,0.3474,26.41,0.1023,153.16,OK
/home/user/tesi/datasets/clic2020/train/alex-wong-17997.png,clic_train,JXL,3.0,0.4721,35.62,0.0691,155.14,OK
/home/user/tesi/datasets/clic2020/train/alexander-dimitrov-5583.png,clic_train,Neural,6.0,0.22978,39.6659,0.20981,6017.23,OK
/home/user/tesi/datasets/clic2020/train/alexander-rotker-107460.png,clic_train,Neural,4.0,0.30581,33.6983,0.22073,6342.01,OK
/home/user/tesi/datasets/clic2020/train/alexander-schwarz-660.png,clic_train,Neural,6.0,0.3501,37.9199,0.19069,7357.66,OK
/home/user/tesi/datasets/clic2020/train/alexander-shustov-63.png,clic_train,JXL,1.0,0.3965,43.85,0.0422,138.51,OK
/home/user/tesi/datasets/clic2020/train/alexander-shustov-69.png,clic_train,JXL,3.0,0.2858,40.26,0.0738,140.95,OK
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-45492.png,clic_train,HEVC,25.0,0.42604,35.0131,0.07701,1791.45,OK
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-75274.png,clic_train,Neural,2.0,0.28521,28.4956,0.25998,7314.31,OK
/home/user/tesi/datasets/clic2020/train/ali-inay-2273.png,clic_train,Neural,2.0,0.27794,27.9881,0.2086,7332.62,OK
/home/user/tesi/datasets/clic2020/train/ali-inay-2277.png,clic_train,JXL,7.0,0.4622,27.21,0.2839,145.3,OK
/home/user/tesi/datasets/clic2020/train/amar-yashlaha-122277.png,clic_train,Neural,2.0,0.15702,26.2073,0.69011,6276.26,OK
/home/user/tesi/datasets/clic2020/train/ambitious-creative-co-rick-barrett-110145 (1).png,clic_train,HEVC,25.0,0.44026,35.2736,0.04255,2044.92,OK
/home/user/tesi/datasets/clic2020/train/anders-jilden-89745.png,clic_train,JXL,3.0,0.293,36.01,0.0256,155.54,OK
/home/user/tesi/datasets/clic2020/train/andre-koch-188.png,clic_train,Neural,2.0,0.44118,25.0991,0.36766,6966.43,OK
/home/user/tesi/datasets/clic2020/train/andre-robillard-298.png,clic_train,JXL,3.0,0.3458,35.98,0.0713,148.92,OK
/home/user/tesi/datasets/clic2020/train/andre-spieker-238.png,clic_train,JXL,3.0,0.4205,37.49,0.1532,99.7,OK
/home/user/tesi/datasets/clic2020/train/andrea-boldizsar-183.png,clic_train,Neural,2.0,0.23068,28.5965,0.28108,3830.57,OK
/home/user/tesi/datasets/clic2020/train/andrew-coelho-46449.png,clic_train,JXL,7.0,0.4386,26.63,0.3454,144.02,OK
/home/user/tesi/datasets/clic2020/train/andrew-collins-1612.png,clic_train,JXL,7.0,0.4341,26.66,0.3063,81.89,OK
/home/user/tesi/datasets/clic2020/train/andrew-neel-133200.png,clic_train,JXL,7.0,0.4244,26.22,0.4496,156.82,OK
/home/user/tesi/datasets/clic2020/train/andrew-neel-178721.png,clic_train,JXL,3.0,0.4015,33.04,0.4477,147.16,OK
/home/user/tesi/datasets/clic2020/train/angela-benito-3184.png,clic_train,JXL,12.0,0.4508,20.94,0.3375,103.97,OK
/home/user/tesi/datasets/clic2020/train/angelina-odemchuk-180.png,clic_train,JXL,3.0,0.426,36.72,0.1109,36.96,OK
/home/user/tesi/datasets/clic2020/train/anna-anikina-31537.png,clic_train,Neural,2.0,0.43467,25.2163,0.17899,8956.85,OK
/home/user/tesi/datasets/clic2020/train/anna-popovic-56025.png,clic_train,JXL,7.0,0.4748,29.3,0.1983,108.89,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-42051.png,clic_train,JXL,7.0,0.4033,26.79,0.3539,156.16,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-44241.png,clic_train,JPEG,60.0,0.37226,39.5634,0.08887,266.29,OK
