image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/kodak/kodim01.png,kodak,JPEG,30.0,0.92232,28.2111,0.09218,149.36,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,JPEG,60.0,1.43547,30.6215,0.03926,29.81,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,JPEG,90.0,3.15314,36.8785,0.00714,28.21,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,HEVC,45.0,0.12014,21.8623,0.66314,218.06,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,HEVC,35.0,0.35016,23.8674,0.45979,240.28,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,HEVC,25.0,1.68191,29.0634,0.11654,276.33,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Balle2018,2.0,0.33569,26.8699,0.28933,35.15,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Balle2018,4.0,0.80216,30.7495,0.10511,12.57,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Balle2018,6.0,1.5402,35.4039,0.02895,22.98,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Cheng2020,2.0,0.29655,27.2797,0.23311,1063.51,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Cheng2020,4.0,0.7404,31.2203,0.08211,1073.14,OK
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Cheng2020,6.0,1.37565,35.0377,0.02569,1023.08,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,JPEG,30.0,0.47522,31.3685,0.17505,29.86,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,JPEG,60.0,0.81183,33.4963,0.07883,29.66,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,JPEG,90.0,2.02572,37.8907,0.01529,30.51,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,HEVC,45.0,0.07607,27.1052,0.52414,214.91,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,HEVC,35.0,0.14435,29.1488,0.36506,259.84,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,HEVC,25.0,0.69529,33.4805,0.14842,298.54,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Balle2018,2.0,0.13623,30.3614,0.37006,12.14,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Balle2018,4.0,0.33105,33.1138,0.24298,12.31,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Balle2018,6.0,0.73926,36.3425,0.11997,18.71,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Cheng2020,2.0,0.0874,30.7472,0.33905,1015.6,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Cheng2020,4.0,0.2356,33.3623,0.21137,1044.85,OK
/home/user/tesi/datasets/kodak/kodim02.png,kodak,Cheng2020,6.0,0.58626,36.5274,0.09098,1035.94,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,JPEG,30.0,0.448,32.8613,0.13208,29.12,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,JPEG,60.0,0.70178,35.2767,0.0708,29.65,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,JPEG,90.0,1.61178,40.0931,0.0174,31.01,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,HEVC,45.0,0.08028,27.4198,0.4154,226.03,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,HEVC,35.0,0.1524,29.9903,0.26251,253.99,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,HEVC,25.0,0.55316,34.9493,0.11074,293.31,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Balle2018,2.0,0.11702,31.7474,0.24075,12.06,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Balle2018,4.0,0.264,35.3101,0.1502,12.43,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Balle2018,6.0,0.5166,38.8787,0.09649,19.05,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Cheng2020,2.0,0.08415,32.5414,0.21216,1088.24,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Cheng2020,4.0,0.19604,35.8886,0.13358,1170.65,OK
/home/user/tesi/datasets/kodak/kodim03.png,kodak,Cheng2020,6.0,0.39998,39.0793,0.08149,1087.97,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,JPEG,30.0,0.53652,31.7047,0.17978,39.03,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,JPEG,60.0,0.86888,33.9009,0.09237,29.01,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,JPEG,90.0,2.07121,38.4214,0.01651,29.28,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,HEVC,45.0,0.09229,26.4265,0.5211,238.49,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,HEVC,35.0,0.17961,28.5411,0.35372,272.78,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,HEVC,25.0,0.73637,33.1919,0.16716,302.74,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Balle2018,2.0,0.14421,30.3667,0.34732,17.46,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Balle2018,4.0,0.33455,33.4579,0.22467,13.0,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Balle2018,6.0,0.71549,36.9431,0.11838,23.06,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Cheng2020,2.0,0.10913,30.8518,0.32175,1066.89,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Cheng2020,4.0,0.26685,33.8053,0.20027,1077.1,OK
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Cheng2020,6.0,0.59733,36.9362,0.10534,1103.55,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,JPEG,30.0,1.03687,27.7315,0.06795,30.73,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,JPEG,60.0,1.59511,30.4343,0.02946,30.6,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,JPEG,90.0,3.32735,36.3698,0.0069,34.14,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,HEVC,45.0,0.17285,20.9524,0.47045,220.15,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,HEVC,35.0,0.41471,23.1457,0.27773,237.88,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,HEVC,25.0,1.59943,29.128,0.06552,266.23,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Balle2018,2.0,0.38298,26.7814,0.17971,15.4,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Balle2018,4.0,0.81047,31.0191,0.06428,12.39,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Balle2018,6.0,1.44336,35.3073,0.01743,21.12,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Cheng2020,2.0,0.35588,27.7883,0.14639,1020.16,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Cheng2020,4.0,0.71794,31.8075,0.05113,1041.24,OK
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Cheng2020,6.0,1.27376,35.5048,0.01507,1090.11,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,JPEG,30.0,0.73977,29.4249,0.1188,35.58,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,JPEG,60.0,1.15975,31.9733,0.06214,31.06,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,JPEG,90.0,2.52566,37.7585,0.01253,29.54,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,HEVC,45.0,0.10187,23.1442,0.58104,205.46,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,HEVC,35.0,0.28619,25.2185,0.37594,243.5,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,HEVC,25.0,1.30699,30.6928,0.1239,272.29,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Balle2018,2.0,0.24089,27.8611,0.28706,12.13,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Balle2018,4.0,0.57227,31.9439,0.13741,12.37,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Balle2018,6.0,1.09961,8.2917,0.73266,18.61,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Cheng2020,2.0,0.22176,28.6901,0.23914,1057.46,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Cheng2020,4.0,0.51676,32.4724,0.12615,1081.0,OK
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Cheng2020,6.0,0.99072,36.3144,0.05403,1078.8,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,JPEG,30.0,0.56887,32.119,0.08646,29.73,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,JPEG,60.0,0.85681,34.6697,0.04712,30.18,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,JPEG,90.0,1.86943,39.5767,0.01211,35.87,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,HEVC,45.0,0.1189,25.1059,0.37827,244.49,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,HEVC,35.0,0.23106,27.9494,0.20596,267.15,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,HEVC,25.0,0.67031,33.8665,0.06603,287.1,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Balle2018,2.0,0.17896,30.9501,0.16009,12.16,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Balle2018,4.0,0.35449,34.8278,0.08338,12.71,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Balle2018,6.0,0.63826,38.5512,0.04821,18.65,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Cheng2020,2.0,0.14315,31.8557,0.12867,1026.91,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Cheng2020,4.0,0.27661,35.534,0.07081,1038.46,OK
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Cheng2020,6.0,0.4991,38.8637,0.04196,1049.53,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,JPEG,30.0,1.04199,27.5344,0.07412,37.37,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,JPEG,60.0,1.6002,30.268,0.03356,39.73,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,JPEG,90.0,3.36766,36.2305,0.00683,36.11,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,HEVC,45.0,0.21261,20.4813,0.47277,223.88,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,HEVC,35.0,0.427,22.4881,0.29251,237.98,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,HEVC,25.0,1.56712,28.5532,0.0863,269.11,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Balle2018,2.0,0.40479,26.1066,0.20527,12.54,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Balle2018,4.0,0.86532,30.2968,0.08985,12.78,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Balle2018,6.0,1.58919,34.6003,0.02563,19.21,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Cheng2020,2.0,0.38159,27.4787,0.15628,1023.53,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Cheng2020,4.0,0.75806,31.2214,0.07694,1044.7,OK
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Cheng2020,6.0,1.37687,34.6244,0.02332,1083.5,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,JPEG,30.0,0.47184,32.781,0.20189,32.61,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,JPEG,60.0,0.71136,35.192,0.14588,31.4,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,JPEG,90.0,1.75376,39.6456,0.02324,31.68,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,HEVC,45.0,0.09499,26.051,0.4568,230.66,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,HEVC,35.0,0.18345,28.818,0.32036,262.89,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,HEVC,25.0,0.58602,34.1703,0.16781,285.09,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Balle2018,2.0,0.13566,31.5496,0.25032,11.97,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Balle2018,4.0,0.27596,35.083,0.17617,12.23,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Balle2018,6.0,0.51465,38.1809,0.14551,18.55,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Cheng2020,2.0,0.10547,32.379,0.21942,1047.76,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Cheng2020,4.0,0.21501,35.5443,0.16352,1060.36,OK
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Cheng2020,6.0,0.41292,38.3438,0.13415,1065.63,OK
/home/user/tesi/datasets/kodak/kodim10.png,kodak,JPEG,30.0,0.5116,32.4068,0.15324,31.42,OK
/home/user/tesi/datasets/kodak/kodim10.png,kodak,JPEG,60.0,0.79677,34.9222,0.08991,30.01,OK
/home/user/tesi/datasets/kodak/kodim10.png,kodak,JPEG,90.0,1.89716,39.4366,0.01472,30.25,OK
/home/user/tesi/datasets/kodak/kodim10.png,kodak,HEVC,45.0,0.09631,25.856,0.53033,248.3,OK
