image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/abigail-keenan-27293.png,clic_train,Neural,4,0.2564,33.1652,0.3135,7561.07,OK
/home/user/tesi/datasets/clic2020/train/adam-przewoski-193.png,clic_train,JPEG,30,0.36465,35.6742,0.08201,119.13,OK
/home/user/tesi/datasets/clic2020/train/adam-willoughby-knox-56406.png,clic_train,Neural,2,0.254,29.8175,0.18474,7508.73,OK
/home/user/tesi/datasets/clic2020/train/afroz-nawaf-323.png,clic_train,Neural,4,0.37213,33.5293,0.18691,7637.13,OK
/home/user/tesi/datasets/clic2020/train/alberto-restifo-4549.png,clic_train,HEVC,25,0.40541,36.885,0.09966,2113.51,OK
/home/user/tesi/datasets/clic2020/train/alec-weir-22151.png,clic_train,JPEG,30,0.49728,30.3703,0.13622,231.07,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-1.png,clic_train,JPEG,60,0.39058,40.0472,0.05973,308.33,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-10.png,clic_train,HEVC,25,0.16081,40.2113,0.04929,1568.63,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-2.png,clic_train,HEVC,25,0.17197,40.5816,0.07294,2067.69,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-23.png,clic_train,Neural,4,0.46191,32.3255,0.25486,9492.82,OK
/home/user/tesi/datasets/clic2020/train/alejandro-escamilla-25.png,clic_train,Neural,4,0.4421,31.6991,0.10336,4179.48,OK
/home/user/tesi/datasets/clic2020/train/aleks-dorohovich-26.png,clic_train,HEVC,25,0.31594,36.4177,0.15632,1438.02,OK
/home/user/tesi/datasets/clic2020/train/aleks-dorohovich-38.png,clic_train,Neural,2,0.28923,28.5449,0.18278,6765.72,OK
/home/user/tesi/datasets/clic2020/train/aleksandra-boguslawska-288.png,clic_train,Neural,2,0.31837,26.1901,0.4451,7497.71,OK
/home/user/tesi/datasets/clic2020/train/aleksi-tappura-445.png,clic_train,HEVC,25,0.43845,32.9678,0.40924,1896.65,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-1211.png,clic_train,Neural,2,0.30552,28.6559,0.15655,7430.76,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-2051.png,clic_train,Neural,2,0.34332,27.7844,0.22491,7550.22,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-26511.png,clic_train,Neural,4,0.3593,33.3137,0.18065,7698.61,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-2892.png,clic_train,Neural,2,0.34744,26.5516,0.34893,7336.89,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-3727.png,clic_train,Neural,2,0.30993,27.3278,0.34769,7313.22,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-3728.png,clic_train,Neural,2,0.30282,28.0873,0.12502,7323.47,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-434.png,clic_train,Neural,4,0.38978,32.9919,0.18978,7348.28,OK
/home/user/tesi/datasets/clic2020/train/ales-krivec-731.png,clic_train,Neural,4,0.32817,33.5123,0.19455,7363.23,OK
/home/user/tesi/datasets/clic2020/train/alex-siale-95113.png,clic_train,Neural,2,0.20871,27.5013,0.36681,7346.32,OK
/home/user/tesi/datasets/clic2020/train/alex-talmon-192.png,clic_train,Neural,2,0.24118,27.7387,0.35256,2917.93,OK
/home/user/tesi/datasets/clic2020/train/alex-wong-17993.png,clic_train,HEVC,35,0.27712,23.8825,0.13243,1487.89,OK
/home/user/tesi/datasets/clic2020/train/alex-wong-17997.png,clic_train,HEVC,25,0.47769,34.703,0.08441,1922.14,OK
/home/user/tesi/datasets/clic2020/train/alexander-dimitrov-5583.png,clic_train,Neural,6,0.22978,39.6659,0.20981,6017.23,OK
/home/user/tesi/datasets/clic2020/train/alexander-rotker-107460.png,clic_train,Neural,4,0.30581,33.6983,0.22073,6342.01,OK
/home/user/tesi/datasets/clic2020/train/alexander-schwarz-660.png,clic_train,Neural,6,0.3501,37.9199,0.19069,7357.66,OK
/home/user/tesi/datasets/clic2020/train/alexander-shustov-63.png,clic_train,HEVC,25,0.19732,40.3786,0.05274,1415.12,OK
/home/user/tesi/datasets/clic2020/train/alexander-shustov-69.png,clic_train,HEVC,25,0.28039,38.3174,0.09396,1844.11,OK
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-45492.png,clic_train,HEVC,25,0.42604,35.0131,0.07701,1791.45,OK
/home/user/tesi/datasets/clic2020/train/alexandre-perotto-75274.png,clic_train,Neural,2,0.28521,28.4956,0.25998,7314.31,OK
/home/user/tesi/datasets/clic2020/train/ali-inay-2273.png,clic_train,Neural,2,0.27794,27.9881,0.2086,7332.62,OK
/home/user/tesi/datasets/clic2020/train/ali-inay-2277.png,clic_train,Neural,2,0.31092,27.6976,0.31923,7305.59,OK
/home/user/tesi/datasets/clic2020/train/amar-yashlaha-122277.png,clic_train,Neural,2,0.15702,26.2073,0.69011,6276.26,OK
/home/user/tesi/datasets/clic2020/train/ambitious-creative-co-rick-barrett-110145 (1).png,clic_train,HEVC,25,0.44026,35.2736,0.04255,2044.92,OK
/home/user/tesi/datasets/clic2020/train/anders-jilden-89745.png,clic_train,HEVC,25,0.37006,37.3502,0.02575,1221.69,OK
/home/user/tesi/datasets/clic2020/train/andre-koch-188.png,clic_train,Neural,2,0.44118,25.0991,0.36766,6966.43,OK
/home/user/tesi/datasets/clic2020/train/andre-robillard-298.png,clic_train,HEVC,25,0.4255,35.416,0.08011,1596.86,OK
/home/user/tesi/datasets/clic2020/train/andre-spieker-238.png,clic_train,JPEG,30,0.49588,34.6666,0.18181,204.82,OK
/home/user/tesi/datasets/clic2020/train/andrea-boldizsar-183.png,clic_train,Neural,2,0.23068,28.5965,0.28108,3830.57,OK
/home/user/tesi/datasets/clic2020/train/andrew-coelho-46449.png,clic_train,Neural,2,0.25058,26.7981,0.39953,7313.88,OK
/home/user/tesi/datasets/clic2020/train/andrew-collins-1612.png,clic_train,Neural,2,0.32017,27.4516,0.32264,4016.18,OK
/home/user/tesi/datasets/clic2020/train/andrew-neel-133200.png,clic_train,Neural,2,0.29075,26.8109,0.45267,7353.22,OK
/home/user/tesi/datasets/clic2020/train/andrew-neel-178721.png,clic_train,JPEG,30,0.42834,31.7987,0.53136,348.67,OK
/home/user/tesi/datasets/clic2020/train/angela-benito-3184.png,clic_train,HEVC,45,0.21484,18.2572,0.61364,921.77,OK
/home/user/tesi/datasets/clic2020/train/angelina-odemchuk-180.png,clic_train,JPEG,30,0.4253,33.8406,0.13467,55.47,OK
/home/user/tesi/datasets/clic2020/train/anna-anikina-31537.png,clic_train,Neural,2,0.43467,25.2163,0.17899,8956.85,OK
/home/user/tesi/datasets/clic2020/train/anna-popovic-56025.png,clic_train,Neural,2,0.30931,28.9174,0.229,55.6,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-42051.png,clic_train,Neural,2,0.21433,27.2097,0.36084,7342.88,OK
/home/user/tesi/datasets/clic2020/train/annie-spratt-44241.png,clic_train,JPEG,60,0.37226,39.5634,0.08887,266.29,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-14634.png,clic_train,Neural,6,0.48274,36.7645,0.38724,112.88,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-16442.png,clic_train,Neural,2,0.27837,27.7186,0.19264,7364.44,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-22776.png,clic_train,HEVC,25,0.18986,38.9549,0.13842,1724.21,OK
/home/user/tesi/datasets/clic2020/train/anthony-delanoix-33879.png,clic_train,HEVC,25,0.15479,40.3444,0.17,1526.96,OK
/home/user/tesi/datasets/clic2020/train/anthony-indraus-14311.png,clic_train,Neural,4,0.32555,33.8238,0.12894,7343.05,OK
/home/user/tesi/datasets/clic2020/train/anton-repponen-96746.png,clic_train,Neural,2,0.28114,28.1324,0.2978,7318.73,OK
/home/user/tesi/datasets/clic2020/train/anton-repponen-99546.png,clic_train,Neural,4,0.3866,31.396,0.31092,7339.16,OK
/home/user/tesi/datasets/clic2020/train/ariana-prestes-285.png,clic_train,Neural,2,0.27525,28.7569,0.13828,1838.31,OK
/home/user/tesi/datasets/clic2020/train/arto-marttinen-182999.png,clic_train,Neural,4,0.49688,32.6805,0.10371,7348.96,OK
/home/user/tesi/datasets/clic2020/train/arto-marttinen-79383.png,clic_train,Neural,4,0.24455,33.9473,0.23765,6952.07,OK
/home/user/tesi/datasets/clic2020/train/artur-pokusin-739.png,clic_train,JPEG,60,0.47107,37.3145,0.13473,300.5,OK
/home/user/tesi/datasets/clic2020/train/arvee-marie-107.png,clic_train,HEVC,35,0.2031,27.381,0.10133,671.13,OK
/home/user/tesi/datasets/clic2020/train/aurelien-bellanger-3970.png,clic_train,Neural,6,0.15567,39.3245,0.23431,7339.94,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-139496.png,clic_train,Neural,4,0.46141,32.6322,0.16483,7379.0,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-159603.png,clic_train,JPEG,60,0.40925,39.069,0.05183,356.17,OK
/home/user/tesi/datasets/clic2020/train/austin-neill-189141.png,clic_train,JPEG,30,0.4786,31.1001,0.1971,379.89,OK
/home/user/tesi/datasets/clic2020/train/axel-antas-bergkvist-7400.png,clic_train,JPEG,30,0.31321,31.9099,0.1977,271.53,OK
/home/user/tesi/datasets/clic2020/train/barcelona-81.png,clic_train,Neural,4,0.3701,33.3929,0.13623,844.03,OK
/home/user/tesi/datasets/clic2020/train/barcelona-82.png,clic_train,Neural,4,0.33939,34.382,0.13626,1467.21,OK
/home/user/tesi/datasets/clic2020/train/barn-images-11460.png,clic_train,Neural,4,0.29525,34.0942,0.21408,6999.6,OK
/home/user/tesi/datasets/clic2020/train/bartlomiej-jacak-114470.png,clic_train,JPEG,30,0.38366,35.422,0.19258,303.52,OK
/home/user/tesi/datasets/clic2020/train/bartosz-bak-254.png,clic_train,HEVC,45,0.23374,19.0027,0.55577,942.51,OK
/home/user/tesi/datasets/clic2020/train/bec-brown-3490.png,clic_train,Neural,6,0.25552,39.7867,0.19741,6810.85,OK
/home/user/tesi/datasets/clic2020/train/ben-dumond-13830.png,clic_train,JPEG,30,0.3996,32.4397,0.12004,344.57,OK
/home/user/tesi/datasets/clic2020/train/benjamin-combs-27619.png,clic_train,Neural,6,0.43889,36.3599,0.34792,7358.55,OK
