image,dataset,winner_codec,winner_param,winner_bpp,winner_psnr,winner_lpips,winner_enc_ms,jpeg_lpips,hevc_lpips,balle_lpips,cheng_lpips,note
/home/user/tesi/datasets/kodak/kodim01.png,kodak,Balle2018,2,0.3357,26.8699,0.2893,35.6,0.0071,0.1165,0.029,0.0257,
/home/user/tesi/datasets/kodak/kodim02.png,kodak,JPEG,30,0.4752,31.3685,0.175,22.7,0.0153,0.1484,0.12,0.091,
/home/user/tesi/datasets/kodak/kodim03.png,kodak,JPEG,30,0.448,32.8613,0.1321,19.1,0.0174,0.1107,0.1502,0.0815,
/home/user/tesi/datasets/kodak/kodim04.png,kodak,Balle2018,4,0.3346,33.4579,0.2247,12.7,0.0165,0.1672,0.1184,0.1053,
/home/user/tesi/datasets/kodak/kodim05.png,kodak,Balle2018,2,0.383,26.7814,0.1797,12.3,0.0069,0.0655,0.0174,0.0151,
/home/user/tesi/datasets/kodak/kodim06.png,kodak,Balle2018,2,0.2409,27.8611,0.2871,12.2,0.0125,0.1239,0.0599,0.054,
/home/user/tesi/datasets/kodak/kodim07.png,kodak,Balle2018,4,0.3545,34.8278,0.0834,12.3,0.0121,0.066,0.0482,0.042,
/home/user/tesi/datasets/kodak/kodim08.png,kodak,Balle2018,2,0.4048,26.1066,0.2053,12.2,0.0068,0.0863,0.0256,0.0233,
/home/user/tesi/datasets/kodak/kodim09.png,kodak,Balle2018,4,0.276,35.083,0.1762,12.1,0.0232,0.1678,0.1455,0.1342,
/home/user/tesi/datasets/kodak/kodim10.png,kodak,Balle2018,4,0.2996,34.6138,0.1925,12.6,0.0147,0.1554,0.1251,0.1022,
/home/user/tesi/datasets/kodak/kodim11.png,kodak,Balle2018,4,0.4794,32.2662,0.1779,12.8,0.0129,0.1396,0.0688,0.0608,
/home/user/tesi/datasets/kodak/kodim12.png,kodak,JPEG,30,0.4729,32.8052,0.1373,22.3,0.0151,0.1659,0.1204,0.1004,
/home/user/tesi/datasets/kodak/kodim13.png,kodak,Balle2018,2,0.4093,24.3722,0.4271,13.7,0.0176,0.1475,0.0288,0.0331,
/home/user/tesi/datasets/kodak/kodim14.png,kodak,Balle2018,2,0.2588,27.5778,0.374,12.0,0.0149,0.1668,0.0603,0.0485,
/home/user/tesi/datasets/kodak/kodim15.png,kodak,JPEG,30,0.4991,31.5272,0.1457,22.2,0.0132,0.1253,0.0876,0.0835,
/home/user/tesi/datasets/kodak/kodim16.png,kodak,Balle2018,4,0.3537,33.4566,0.205,13.1,0.0192,0.1764,0.1024,0.0869,
/home/user/tesi/datasets/kodak/kodim17.png,kodak,Balle2018,4,0.3246,33.9005,0.1749,12.4,0.0153,0.1632,0.0995,0.0934,
/home/user/tesi/datasets/kodak/kodim18.png,kodak,Balle2018,2,0.2664,27.0942,0.3341,12.2,0.0148,0.14,0.0779,0.0728,
/home/user/tesi/datasets/kodak/kodim19.png,kodak,Balle2018,4,0.4233,32.6838,0.2373,12.5,0.0222,0.2076,0.1294,0.1257,
/home/user/tesi/datasets/kodak/kodim20.png,kodak,JPEG,30,0.4676,31.9599,0.1051,20.5,0.0137,0.0915,0.044,0.0416,
/home/user/tesi/datasets/kodak/kodim21.png,kodak,Balle2018,2,0.2241,28.5937,0.3032,12.6,0.0245,0.1858,0.1286,0.1226,
