codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
dcvc_dc,Beauty,LDP,q=0,coding,600,216.257,4103.792,64583.846,68687.638,25.07,81.02,1.371,
dcvc_dc,Beauty,LDP,q=1,coding,600,216.305,4659.236,69968.407,74627.643,22.67,60.02,1.395,
dcvc_dc,Beauty,LDP,q=2,coding,600,216.323,4718.159,70870.082,75588.24,22.76,55.48,1.421,
dcvc_dc,Beauty,LDP,q=3,coding,600,216.009,4459.17,68724.969,73184.138,23.75,65.17,1.447,
dcvc_dc,Bosphorus,LDP,q=0,coding,600,226.273,4893.957,71828.746,76722.703,22.38,53.09,1.66,
dcvc_dc,Bosphorus,LDP,q=1,coding,600,216.311,4518.816,68597.954,73116.77,23.4,65.89,1.697,
dcvc_dc,Bosphorus,LDP,q=2,coding,600,216.275,4476.912,69054.11,73531.022,23.47,63.74,1.734,
dcvc_dc,Bosphorus,LDP,q=3,coding,600,216.287,4612.429,69908.907,74521.335,22.81,59.69,1.774,
dcvc_dc,HoneyBee,LDP,q=0,coding,600,226.407,4759.242,70649.249,75408.491,22.94,58.4,0.466,
dcvc_dc,HoneyBee,LDP,q=1,coding,600,216.228,4879.063,71184.844,76063.906,22.02,54.4,0.471,
dcvc_dc,HoneyBee,LDP,q=2,coding,600,216.309,4386.177,68366.379,72752.557,24.0,67.41,0.475,
dcvc_dc,HoneyBee,LDP,q=3,coding,600,216.236,4652.401,69617.856,74270.257,22.8,61.41,0.478,
dcvc_dc,Jockey,LDP,q=0,coding,600,221.958,4688.3,70137.708,74826.007,22.95,60.1,2.745,
dcvc_dc,Jockey,LDP,q=1,coding,600,216.408,4522.268,69381.93,73904.198,23.29,62.12,2.787,
dcvc_dc,Jockey,LDP,q=2,coding,600,216.372,4704.172,70446.233,75150.405,22.47,57.24,2.834,
dcvc_dc,Jockey,LDP,q=3,coding,600,216.396,4640.45,70986.493,75626.943,22.94,55.05,2.878,
dcvc_dc,ReadySteadyGo,LDP,q=0,coding,600,222.059,4769.059,71924.711,76693.77,22.71,51.88,4.317,
dcvc_dc,ReadySteadyGo,LDP,q=1,coding,600,216.283,4732.5,71240.016,75972.516,22.68,54.01,4.389,
dcvc_dc,ReadySteadyGo,LDP,q=2,coding,600,216.279,4506.517,68808.876,73315.393,23.41,64.69,4.461,
dcvc_dc,ReadySteadyGo,LDP,q=3,coding,600,216.321,4588.995,69282.407,73871.402,23.3,62.43,4.537,
dcvc_dc,ShakeNDry,LDP,q=0,coding,300,110.988,2418.059,35082.902,37500.96,22.55,58.97,2.643,
dcvc_dc,ShakeNDry,LDP,q=1,coding,300,108.118,2107.327,32343.92,34451.248,25.08,83.88,2.715,
dcvc_dc,ShakeNDry,LDP,q=2,coding,300,108.107,2144.332,32268.639,34412.971,24.81,84.89,2.803,
dcvc_dc,ShakeNDry,LDP,q=3,coding,300,108.111,2121.483,32252.928,34374.412,24.89,84.52,2.886,
dcvc_dc,YachtRide,LDP,q=0,coding,600,222.13,4268.81,64990.175,69258.985,25.07,83.74,6.059,
dcvc_dc,YachtRide,LDP,q=1,coding,600,216.298,4882.981,71431.961,76314.942,22.07,53.06,6.199,
dcvc_dc,YachtRide,LDP,q=2,coding,600,216.301,4632.322,69196.389,73828.711,23.01,63.27,6.345,
dcvc_dc,YachtRide,LDP,q=3,coding,600,216.327,4688.639,69918.464,74607.103,22.86,59.86,6.495,
