codec,seq,profile,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
dcvc_dc,Beauty,LDP,q=0,72.641,38.211,39.051,41.246,38.696,0.89544,0.96985,600
dcvc_dc,Beauty,LDP,q=1,72.918,38.237,39.056,41.253,38.716,0.89566,0.97001,600
dcvc_dc,Beauty,LDP,q=2,73.201,38.267,39.064,41.263,38.741,0.89594,0.97022,600
dcvc_dc,Beauty,LDP,q=3,73.563,38.296,39.072,41.28,38.766,0.89622,0.97041,600
dcvc_dc,Bosphorus,LDP,q=0,77.058,38.372,44.255,44.012,39.813,0.93668,0.97237,600
dcvc_dc,Bosphorus,LDP,q=1,77.427,38.46,44.323,44.059,39.893,0.9378,0.97309,600
dcvc_dc,Bosphorus,LDP,q=2,77.773,38.521,44.379,44.107,39.952,0.9384,0.97344,600
dcvc_dc,Bosphorus,LDP,q=3,78.153,38.597,44.441,44.167,40.024,0.9393,0.97396,600
dcvc_dc,HoneyBee,LDP,q=0,84.821,40.566,39.067,41.524,40.498,0.95795,0.98836,600
dcvc_dc,HoneyBee,LDP,q=1,85.049,40.617,39.14,41.572,40.552,0.95827,0.9885,600
dcvc_dc,HoneyBee,LDP,q=2,85.346,40.669,39.192,41.611,40.602,0.95855,0.98865,600
dcvc_dc,HoneyBee,LDP,q=3,85.52,40.714,39.259,41.655,40.65,0.95881,0.98879,600
dcvc_dc,Jockey,LDP,q=0,82.841,39.517,42.037,42.141,40.16,0.94273,0.97304,600
dcvc_dc,Jockey,LDP,q=1,83.191,39.577,42.094,42.185,40.217,0.94313,0.97342,600
dcvc_dc,Jockey,LDP,q=2,83.595,39.643,42.133,42.23,40.277,0.94356,0.97387,600
dcvc_dc,Jockey,LDP,q=3,83.919,39.704,42.177,42.275,40.335,0.94394,0.97427,600
dcvc_dc,ReadySteadyGo,LDP,q=0,95.935,37.074,41.324,41.088,38.107,0.95035,0.98355,600
dcvc_dc,ReadySteadyGo,LDP,q=1,96.163,37.164,41.387,41.132,38.188,0.95119,0.98389,600
dcvc_dc,ReadySteadyGo,LDP,q=2,96.368,37.248,41.45,41.197,38.267,0.95192,0.98421,600
dcvc_dc,ReadySteadyGo,LDP,q=3,96.564,37.342,41.5,41.24,38.349,0.95274,0.98456,600
dcvc_dc,ShakeNDry,LDP,q=0,71.518,36.284,40.491,41.349,37.443,0.91385,0.9635,300
dcvc_dc,ShakeNDry,LDP,q=1,71.904,36.35,40.532,41.377,37.501,0.91488,0.96413,300
dcvc_dc,ShakeNDry,LDP,q=2,72.311,36.424,40.582,41.401,37.566,0.916,0.9648,300
dcvc_dc,ShakeNDry,LDP,q=3,72.662,36.492,40.622,41.443,37.627,0.91703,0.96544,300
dcvc_dc,YachtRide,LDP,q=0,75.477,35.437,43.157,42.18,37.245,0.91781,0.96166,600
dcvc_dc,YachtRide,LDP,q=1,75.909,35.523,43.199,42.23,37.321,0.91907,0.96242,600
dcvc_dc,YachtRide,LDP,q=2,76.364,35.61,43.235,42.268,37.395,0.92029,0.96315,600
dcvc_dc,YachtRide,LDP,q=3,76.8,35.7,43.289,42.322,37.476,0.92159,0.96394,600
