codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
dcvc_fm,Beauty,LDP,q=0,encode,600,191.673,2580.802,71939.704,74520.506,29.63,80.94,0.138,
dcvc_fm,Beauty,LDP,q=0,decode,600,147.443,2091.317,55496.335,57587.652,30.0,94.33,0.138,
dcvc_fm,Beauty,LDP,q=21,encode,600,191.565,2613.998,70474.555,73088.553,29.91,92.49,0.37,
dcvc_fm,Beauty,LDP,q=21,decode,600,147.386,2119.196,55563.066,57682.262,29.81,93.38,0.37,
dcvc_fm,Beauty,LDP,q=42,encode,600,191.777,2633.002,70444.475,73077.477,29.78,92.5,1.299,
dcvc_fm,Beauty,LDP,q=42,decode,600,147.384,2135.389,55003.402,57138.791,29.73,97.44,1.299,
dcvc_fm,Beauty,LDP,q=63,encode,600,191.892,2617.921,70554.166,73172.087,29.72,92.68,5.037,
dcvc_fm,Beauty,LDP,q=63,decode,600,147.498,2135.415,55666.974,57802.389,29.81,94.04,5.037,
dcvc_fm,Bosphorus,LDP,q=0,encode,600,201.526,2700.124,70547.443,73247.567,29.8,93.26,0.125,
dcvc_fm,Bosphorus,LDP,q=0,decode,600,147.367,2143.128,55653.296,57796.424,29.77,94.37,0.125,
dcvc_fm,Bosphorus,LDP,q=21,encode,600,191.803,2630.725,70180.744,72811.469,29.84,95.19,0.368,
dcvc_fm,Bosphorus,LDP,q=21,decode,600,147.433,2113.499,55477.051,57590.551,29.83,94.54,0.368,
dcvc_fm,Bosphorus,LDP,q=42,encode,600,191.953,2557.074,70300.004,72857.078,29.91,93.97,1.651,
dcvc_fm,Bosphorus,LDP,q=42,decode,600,147.421,2123.085,55323.479,57446.563,29.8,95.29,1.651,
dcvc_fm,Bosphorus,LDP,q=63,encode,600,191.74,2565.129,70466.85,73031.979,29.78,92.95,7.514,
dcvc_fm,Bosphorus,LDP,q=63,decode,600,147.429,2132.159,55623.227,57755.385,29.78,94.1,7.514,
dcvc_fm,HoneyBee,LDP,q=0,encode,600,201.465,2674.668,70589.969,73264.636,29.83,93.35,0.121,
dcvc_fm,HoneyBee,LDP,q=0,decode,600,147.312,2149.446,55593.015,57742.461,29.78,93.91,0.121,
dcvc_fm,HoneyBee,LDP,q=21,encode,600,191.549,2659.112,70584.775,73243.887,29.71,92.92,0.194,
