codec,seq,profile,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
dcvc_fm,Beauty,LDP,q=0,18.923,31.927,36.587,38.403,33.319,0.84945,0.91075,600
dcvc_fm,Beauty,LDP,q=21,50.155,35.873,38.614,40.52,36.797,0.87623,0.95189,600
dcvc_fm,Beauty,LDP,q=42,74.26,38.294,39.156,41.405,38.79,0.89638,0.97064,600
dcvc_fm,Beauty,LDP,q=63,87.72,39.505,39.396,41.793,39.777,0.9083,0.97818,600
dcvc_fm,Bosphorus,LDP,q=0,25.132,29.666,39.555,37.184,31.842,0.79914,0.83125,600
dcvc_fm,Bosphorus,LDP,q=21,53.002,34.239,42.954,41.959,36.294,0.87698,0.92868,600
dcvc_fm,Bosphorus,LDP,q=42,79.357,38.737,45.887,45.235,40.443,0.94152,0.97553,600
dcvc_fm,Bosphorus,LDP,q=63,92.842,43.063,47.988,47.334,44.212,0.97383,0.9918,600
dcvc_fm,HoneyBee,LDP,q=0,38.573,33.039,33.812,37.934,33.748,0.88544,0.93673,600
dcvc_fm,HoneyBee,LDP,q=21,69.479,37.451,38.407,40.664,37.972,0.94005,0.97744,600
dcvc_fm,HoneyBee,LDP,q=42,87.165,41.054,41.899,42.795,41.377,0.96141,0.98977,600
dcvc_fm,HoneyBee,LDP,q=63,93.275,42.903,44.088,44.261,43.221,0.96935,0.99352,600
dcvc_fm,Jockey,LDP,q=0,30.421,29.806,33.555,34.061,30.806,0.87384,0.86957,600
dcvc_fm,Jockey,LDP,q=21,55.885,34.897,39.406,39.31,36.013,0.91169,0.93046,600
dcvc_fm,Jockey,LDP,q=42,81.602,39.332,42.705,42.577,40.159,0.9414,0.9712,600
dcvc_fm,Jockey,LDP,q=63,96.265,42.551,44.798,44.476,43.073,0.9607,0.98828,600
dcvc_fm,ReadySteadyGo,LDP,q=0,35.271,26.233,34.349,34.97,28.339,0.76183,0.836,600
dcvc_fm,ReadySteadyGo,LDP,q=21,70.278,31.593,39.191,39.232,33.498,0.87668,0.94238,600
dcvc_fm,ReadySteadyGo,LDP,q=42,96.545,37.214,43.15,42.556,38.624,0.9516,0.98422,600
dcvc_fm,ReadySteadyGo,LDP,q=63,99.938,42.285,45.787,44.917,43.052,0.98029,0.99521,600
dcvc_fm,ShakeNDry,LDP,q=0,19.1,28.679,37.02,38.198,30.912,0.7302,0.81966,300
dcvc_fm,ShakeNDry,LDP,q=21,49.123,32.932,39.766,40.871,34.778,0.85467,0.92285,300
dcvc_fm,ShakeNDry,LDP,q=42,72.977,36.434,41.849,42.36,37.852,0.91653,0.96439,300
dcvc_fm,ShakeNDry,LDP,q=63,89.976,40.657,43.675,43.803,41.428,0.96252,0.98932,300
dcvc_fm,YachtRide,LDP,q=0,23.385,26.838,38.197,35.923,29.394,0.73325,0.7785,600
dcvc_fm,YachtRide,LDP,q=21,45.111,30.5,41.709,40.233,33.118,0.81822,0.88834,600
dcvc_fm,YachtRide,LDP,q=42,76.536,35.481,44.825,43.606,37.665,0.91914,0.96338,600
dcvc_fm,YachtRide,LDP,q=63,95.439,41.105,47.057,45.839,42.441,0.97132,0.99038,600
