codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
dcvc_rt_cuda,Beauty,LDP,q=0,encode,600,19.434,395.741,2686.448,3082.189,26.12,81.29,0.15,
dcvc_rt_cuda,Beauty,LDP,q=0,decode,600,6.847,122.863,3131.073,3253.936,25.2,80.9,0.15,
dcvc_rt_cuda,Beauty,LDP,q=21,encode,600,19.038,434.962,3157.749,3592.711,23.2,58.74,0.459,
dcvc_rt_cuda,Beauty,LDP,q=21,decode,600,6.86,122.982,3165.081,3288.063,25.18,81.19,0.459,
dcvc_rt_cuda,Beauty,LDP,q=42,encode,600,19.148,444.5,3253.437,3697.937,22.9,54.26,1.56,
dcvc_rt_cuda,Beauty,LDP,q=42,decode,600,6.866,121.151,3176.571,3297.722,25.23,81.27,1.56,
dcvc_rt_cuda,Beauty,LDP,q=63,encode,600,19.237,462.352,3382.628,3844.979,22.08,48.56,5.825,
dcvc_rt_cuda,Beauty,LDP,q=63,decode,600,6.918,125.883,3168.57,3294.453,24.97,81.55,5.825,
dcvc_rt_cuda,Bosphorus,LDP,q=0,encode,600,19.21,439.289,3238.32,3677.61,23.26,54.94,0.159,
dcvc_rt_cuda,Bosphorus,LDP,q=0,decode,600,6.864,124.107,3175.681,3299.788,25.06,81.6,0.159,
dcvc_rt_cuda,Bosphorus,LDP,q=21,encode,600,19.188,441.276,3100.678,3541.954,23.09,62.46,0.721,
dcvc_rt_cuda,Bosphorus,LDP,q=21,decode,600,6.872,124.973,3188.526,3313.5,24.94,81.51,0.721,
dcvc_rt_cuda,Bosphorus,LDP,q=42,encode,600,19.149,454.07,3293.963,3748.032,22.42,53.73,2.882,
dcvc_rt_cuda,Bosphorus,LDP,q=42,decode,600,6.879,125.711,3202.229,3327.94,25.08,81.71,2.882,
dcvc_rt_cuda,Bosphorus,LDP,q=63,encode,600,19.18,464.691,3424.221,3888.913,21.97,47.77,10.097,
dcvc_rt_cuda,Bosphorus,LDP,q=63,decode,600,6.934,126.437,3197.963,3324.4,25.03,81.76,10.097,
dcvc_rt_cuda,HoneyBee,LDP,q=0,encode,600,19.161,446.454,3257.844,3704.298,22.98,56.18,0.126,
dcvc_rt_cuda,HoneyBee,LDP,q=0,decode,600,6.871,124.08,3218.767,3342.847,25.19,81.52,0.126,
dcvc_rt_cuda,HoneyBee,LDP,q=21,encode,600,19.201,434.564,3100.184,3534.747,23.98,65.27,0.315,
dcvc_rt_cuda,HoneyBee,LDP,q=21,decode,600,6.876,123.569,3242.673,3366.242,25.19,81.92,0.315,
dcvc_rt_cuda,HoneyBee,LDP,q=42,encode,600,19.16,443.837,3244.082,3687.919,23.25,58.19,0.898,
dcvc_rt_cuda,HoneyBee,LDP,q=42,decode,600,6.875,124.791,3199.763,3324.555,25.08,81.78,0.898,
dcvc_rt_cuda,HoneyBee,LDP,q=63,encode,600,19.116,443.402,3147.34,3590.742,23.53,63.78,2.966,
dcvc_rt_cuda,HoneyBee,LDP,q=63,decode,600,6.897,125.208,3247.503,3372.71,25.12,81.56,2.966,
dcvc_rt_cuda,Jockey,LDP,q=0,encode,600,19.148,447.035,3256.7,3703.735,22.8,56.42,0.352,
dcvc_rt_cuda,Jockey,LDP,q=0,decode,600,6.871,122.512,3181.214,3303.726,25.35,81.36,0.352,
dcvc_rt_cuda,Jockey,LDP,q=21,encode,600,19.088,468.625,3381.926,3850.552,22.06,49.38,1.049,
dcvc_rt_cuda,Jockey,LDP,q=21,decode,600,6.871,124.321,3220.326,3344.647,25.13,81.82,1.049,
dcvc_rt_cuda,Jockey,LDP,q=42,encode,600,19.189,450.685,3227.717,3678.403,22.85,57.86,3.33,
dcvc_rt_cuda,Jockey,LDP,q=42,decode,600,6.877,124.999,3211.117,3336.115,25.16,81.78,3.33,
dcvc_rt_cuda,Jockey,LDP,q=63,encode,600,19.15,433.421,3119.591,3553.012,23.98,63.77,10.574,
dcvc_rt_cuda,Jockey,LDP,q=63,decode,600,7.064,125.837,3223.861,3349.697,25.13,81.96,10.574,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=0,encode,600,19.182,445.195,3290.481,3735.677,22.92,54.64,0.56,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=0,decode,600,6.882,124.276,3208.096,3332.371,25.14,81.86,0.56,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=21,encode,600,19.173,450.175,3207.975,3658.15,22.79,59.79,2.017,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=21,decode,600,6.866,126.581,3221.54,3348.121,24.96,81.71,2.017,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=42,encode,600,19.241,463.093,3353.473,3816.567,22.2,52.59,6.575,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=42,decode,600,6.943,125.366,3208.715,3334.081,25.12,81.79,6.575,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=63,encode,600,19.186,454.35,3187.639,3641.99,23.11,59.88,20.352,
dcvc_rt_cuda,ReadySteadyGo,LDP,q=63,decode,600,7.186,129.437,3220.364,3349.801,25.21,81.76,20.352,
dcvc_rt_cuda,ShakeNDry,LDP,q=0,encode,300,9.698,231.486,1711.262,1942.748,22.04,48.27,0.258,
dcvc_rt_cuda,ShakeNDry,LDP,q=0,decode,300,3.452,61.42,1604.169,1665.589,25.16,81.63,0.258,
dcvc_rt_cuda,ShakeNDry,LDP,q=21,encode,300,9.568,205.53,1391.131,1596.661,25.14,81.7,0.82,
dcvc_rt_cuda,ShakeNDry,LDP,q=21,decode,300,3.462,61.836,1582.876,1644.712,24.96,81.51,0.82,
dcvc_rt_cuda,ShakeNDry,LDP,q=42,encode,300,9.606,202.731,1389.623,1592.354,25.31,81.82,3.786,
dcvc_rt_cuda,ShakeNDry,LDP,q=42,decode,300,3.462,62.781,1606.721,1669.502,24.96,81.95,3.786,
dcvc_rt_cuda,ShakeNDry,LDP,q=63,encode,300,9.696,200.595,1404.378,1604.973,25.32,81.6,18.026,
dcvc_rt_cuda,ShakeNDry,LDP,q=63,decode,300,3.564,62.634,1578.014,1640.648,25.36,81.85,18.026,
dcvc_rt_cuda,YachtRide,LDP,q=0,encode,600,19.198,405.679,2756.524,3162.203,25.18,81.7,0.273,
dcvc_rt_cuda,YachtRide,LDP,q=0,decode,600,6.868,124.457,3172.974,3297.431,25.14,81.65,0.273,
dcvc_rt_cuda,YachtRide,LDP,q=21,encode,600,19.093,444.826,3223.938,3668.765,23.26,58.51,1.681,
dcvc_rt_cuda,YachtRide,LDP,q=21,decode,600,6.876,119.416,3186.4,3305.815,25.9,81.72,1.681,
dcvc_rt_cuda,YachtRide,LDP,q=42,encode,600,19.238,459.06,3329.097,3788.158,22.35,53.88,7.776,
dcvc_rt_cuda,YachtRide,LDP,q=42,decode,600,6.934,124.411,3213.432,3337.842,25.2,81.89,7.776,
dcvc_rt_cuda,YachtRide,LDP,q=63,encode,600,19.254,446.495,3187.317,3633.812,23.26,59.52,26.537,
dcvc_rt_cuda,YachtRide,LDP,q=63,decode,600,7.223,133.056,3240.021,3373.077,25.03,81.62,26.537,
