codec,seq,profile,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
dcvc_rt,Beauty,LDP,q=0,31.378,33.701,38.719,39.823,35.093,0.86039,0.93047,600
dcvc_rt,Beauty,LDP,q=21,57.306,36.697,39.141,41.247,37.571,0.88266,0.95917,600
dcvc_rt,Beauty,LDP,q=42,76.775,38.599,39.322,41.665,39.072,0.89964,0.973,600
dcvc_rt,Beauty,LDP,q=63,87.924,39.585,39.446,41.882,39.855,0.90935,0.97877,600
dcvc_rt,Bosphorus,LDP,q=0,37.418,31.614,41.752,40.776,34.026,0.82632,0.87626,600
dcvc_rt,Bosphorus,LDP,q=21,66.357,36.388,45.042,44.535,38.488,0.91363,0.95855,600
dcvc_rt,Bosphorus,LDP,q=42,84.866,40.291,47.213,46.582,41.942,0.95784,0.98455,600
dcvc_rt,Bosphorus,LDP,q=63,93.689,43.709,48.765,47.917,44.867,0.9772,0.99328,600
dcvc_rt,HoneyBee,LDP,q=0,54.32,34.794,36.026,39.468,35.532,0.91026,0.95815,600
dcvc_rt,HoneyBee,LDP,q=21,82.39,39.865,40.608,42.153,40.244,0.9549,0.9866,600
dcvc_rt,HoneyBee,LDP,q=42,91.394,42.268,43.385,43.76,42.594,0.96685,0.99251,600
dcvc_rt,HoneyBee,LDP,q=63,93.676,43.159,44.585,44.526,43.508,0.97037,0.99398,600
dcvc_rt,Jockey,LDP,q=0,38.658,31.565,37.736,37.192,33.04,0.88668,0.89475,600
dcvc_rt,Jockey,LDP,q=21,61.129,36.007,41.02,40.631,37.212,0.92066,0.94517,600
dcvc_rt,Jockey,LDP,q=42,85.525,40.014,43.31,42.983,40.797,0.94699,0.9775,600
dcvc_rt,Jockey,LDP,q=63,96.463,42.755,44.965,44.492,43.248,0.96239,0.98937,600
dcvc_rt,ReadySteadyGo,LDP,q=0,43.984,27.63,36.912,37.046,29.968,0.79452,0.87651,600
dcvc_rt,ReadySteadyGo,LDP,q=21,76.059,32.796,40.46,40.178,34.677,0.89995,0.95781,600
dcvc_rt,ReadySteadyGo,LDP,q=42,96.951,37.684,43.372,42.597,39.009,0.95731,0.98665,600
dcvc_rt,ReadySteadyGo,LDP,q=63,99.934,41.988,45.6,44.552,42.76,0.97991,0.99513,600
dcvc_rt,ShakeNDry,LDP,q=0,34.755,30.978,38.726,39.944,33.067,0.80545,0.88827,300
dcvc_rt,ShakeNDry,LDP,q=21,59.684,34.386,41.122,41.766,36.15,0.88607,0.9414,300
dcvc_rt,ShakeNDry,LDP,q=42,77.192,37.333,42.856,43.084,38.742,0.92976,0.9718,300
dcvc_rt,ShakeNDry,LDP,q=63,90.389,41.042,44.068,44.027,41.793,0.96555,0.99046,300
dcvc_rt,YachtRide,LDP,q=0,29.096,27.98,40.403,38.762,30.88,0.75443,0.81783,600
dcvc_rt,YachtRide,LDP,q=21,53.972,31.803,43.175,41.821,34.477,0.85431,0.9207,600
dcvc_rt,YachtRide,LDP,q=42,80.564,36.388,45.518,44.269,38.514,0.93578,0.97321,600
dcvc_rt,YachtRide,LDP,q=63,95.575,41.36,47.394,46.14,42.712,0.97394,0.99158,600
