codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path
dcvc_dc,DCVC-DC,Beauty,LDP,,q=0,600,1,0,1.371,72.641,38.211,39.051,41.246,38.696,0.89544,0.96985,216.257,4103.792,64583.846,68687.638,25.07,81.02,,,,,,,4103.792,64583.846,68687.638,68.6876,114.479,
dcvc_dc,DCVC-DC,Beauty,LDP,,q=1,600,1,0,1.395,72.918,38.237,39.056,41.253,38.716,0.89566,0.97001,216.305,4659.236,69968.407,74627.643,22.67,60.02,,,,,,,4659.236,69968.407,74627.643,74.6276,124.379,
dcvc_dc,DCVC-DC,Beauty,LDP,,q=2,600,1,0,1.421,73.201,38.267,39.064,41.263,38.741,0.89594,0.97022,216.323,4718.159,70870.082,75588.241,22.76,55.48,,,,,,,4718.159,70870.082,75588.241,75.5882,125.98,
dcvc_dc,DCVC-DC,Beauty,LDP,,q=3,600,1,0,1.447,73.563,38.296,39.072,41.28,38.766,0.89622,0.97041,216.009,4459.17,68724.969,73184.139,23.75,65.17,,,,,,,4459.17,68724.969,73184.139,73.1841,121.974,
dcvc_dc,DCVC-DC,Bosphorus,LDP,,q=0,600,1,0,1.66,77.058,38.372,44.255,44.012,39.813,0.93668,0.97237,226.273,4893.957,71828.746,76722.703,22.38,53.09,,,,,,,4893.957,71828.746,76722.703,76.7227,127.871,
dcvc_dc,DCVC-DC,Bosphorus,LDP,,q=1,600,1,0,1.697,77.427,38.46,44.323,44.059,39.893,0.9378,0.97309,216.311,4518.816,68597.954,73116.77,23.4,65.89,,,,,,,4518.816,68597.954,73116.77,73.1168,121.861,
dcvc_dc,DCVC-DC,Bosphorus,LDP,,q=2,600,1,0,1.734,77.773,38.521,44.379,44.107,39.952,0.9384,0.97344,216.275,4476.912,69054.11,73531.022,23.47,63.74,,,,,,,4476.912,69054.11,73531.022,73.531,122.552,
dcvc_dc,DCVC-DC,Bosphorus,LDP,,q=3,600,1,0,1.774,78.153,38.597,44.441,44.167,40.024,0.9393,0.97396,216.287,4612.429,69908.907,74521.336,22.81,59.69,,,,,,,4612.429,69908.907,74521.336,74.5213,124.202,
dcvc_dc,DCVC-DC,HoneyBee,LDP,,q=0,600,1,0,0.466,84.821,40.566,39.067,41.524,40.498,0.95795,0.98836,226.407,4759.242,70649.249,75408.491,22.94,58.4,,,,,,,4759.242,70649.249,75408.491,75.4085,125.681,
dcvc_dc,DCVC-DC,HoneyBee,LDP,,q=1,600,1,0,0.471,85.049,40.617,39.14,41.572,40.552,0.95827,0.9885,216.228,4879.063,71184.844,76063.907,22.02,54.4,,,,,,,4879.063,71184.844,76063.907,76.0639,126.773,
dcvc_dc,DCVC-DC,HoneyBee,LDP,,q=2,600,1,0,0.475,85.346,40.669,39.192,41.611,40.602,0.95855,0.98865,216.309,4386.177,68366.379,72752.556,24.0,67.41,,,,,,,4386.177,68366.379,72752.556,72.7526,121.254,
dcvc_dc,DCVC-DC,HoneyBee,LDP,,q=3,600,1,0,0.478,85.52,40.714,39.259,41.655,40.65,0.95881,0.98879,216.236,4652.401,69617.856,74270.257,22.8,61.41,,,,,,,4652.401,69617.856,74270.257,74.2703,123.784,
dcvc_dc,DCVC-DC,Jockey,LDP,,q=0,600,1,0,2.745,82.841,39.517,42.037,42.141,40.16,0.94273,0.97304,221.958,4688.3,70137.708,74826.008,22.95,60.1,,,,,,,4688.3,70137.708,74826.008,74.826,124.71,
dcvc_dc,DCVC-DC,Jockey,LDP,,q=1,600,1,0,2.787,83.191,39.577,42.094,42.185,40.217,0.94313,0.97342,216.408,4522.268,69381.93,73904.198,23.29,62.12,,,,,,,4522.268,69381.93,73904.198,73.9042,123.174,
dcvc_dc,DCVC-DC,Jockey,LDP,,q=2,600,1,0,2.834,83.595,39.643,42.133,42.23,40.277,0.94356,0.97387,216.372,4704.172,70446.233,75150.405,22.47,57.24,,,,,,,4704.172,70446.233,75150.405,75.1504,125.251,
dcvc_dc,DCVC-DC,Jockey,LDP,,q=3,600,1,0,2.878,83.919,39.704,42.177,42.275,40.335,0.94394,0.97427,216.396,4640.45,70986.493,75626.943,22.94,55.05,,,,,,,4640.45,70986.493,75626.943,75.6269,126.045,
dcvc_dc,DCVC-DC,ReadySteadyGo,LDP,,q=0,600,1,0,4.317,95.935,37.074,41.324,41.088,38.107,0.95035,0.98355,222.059,4769.059,71924.711,76693.77,22.71,51.88,,,,,,,4769.059,71924.711,76693.77,76.6938,127.823,
dcvc_dc,DCVC-DC,ReadySteadyGo,LDP,,q=1,600,1,0,4.389,96.163,37.164,41.387,41.132,38.188,0.95119,0.98389,216.283,4732.5,71240.016,75972.516,22.68,54.01,,,,,,,4732.5,71240.016,75972.516,75.9725,126.621,
dcvc_dc,DCVC-DC,ReadySteadyGo,LDP,,q=2,600,1,0,4.461,96.368,37.248,41.45,41.197,38.267,0.95192,0.98421,216.279,4506.517,68808.876,73315.393,23.41,64.69,,,,,,,4506.517,68808.876,73315.393,73.3154,122.192,
dcvc_dc,DCVC-DC,ReadySteadyGo,LDP,,q=3,600,1,0,4.537,96.564,37.342,41.5,41.24,38.349,0.95274,0.98456,216.321,4588.995,69282.407,73871.402,23.3,62.43,,,,,,,4588.995,69282.407,73871.402,73.8714,123.119,
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=0,300,1,0,2.643,71.518,36.284,40.491,41.349,37.443,0.91385,0.9635,110.988,2418.059,35082.902,37500.961,22.55,58.97,,,,,,,2418.059,35082.902,37500.961,37.501,125.003,
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=1,300,1,0,2.715,71.904,36.35,40.532,41.377,37.501,0.91488,0.96413,108.118,2107.327,32343.92,34451.247,25.08,83.88,,,,,,,2107.327,32343.92,34451.247,34.4512,114.837,
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=2,300,1,0,2.803,72.311,36.424,40.582,41.401,37.566,0.916,0.9648,108.107,2144.332,32268.639,34412.971,24.81,84.89,,,,,,,2144.332,32268.639,34412.971,34.413,114.71,
dcvc_dc,DCVC-DC,ShakeNDry,LDP,,q=3,300,1,0,2.886,72.662,36.492,40.622,41.443,37.627,0.91703,0.96544,108.111,2121.483,32252.928,34374.411,24.89,84.52,,,,,,,2121.483,32252.928,34374.411,34.3744,114.581,
