codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,Beauty,LDP,p5,crf=27,encode,600,17.954,891.151,0.0,891.151,24.31,36.49,46.073,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf27.ivf
svtav1,Beauty,LDP,p5,crf=27,decode,600,1.51,49.05,0.0,49.05,24.37,35.97,46.073,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf27.ivf
svtav1,Beauty,LDP,p5,crf=35,encode,600,14.873,781.117,0.0,781.117,24.33,36.69,10.439,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf35.ivf
svtav1,Beauty,LDP,p5,crf=35,decode,600,0.491,21.47,0.0,21.47,24.39,36.61,10.439,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf35.ivf
svtav1,Beauty,LDP,p5,crf=43,encode,600,12.643,633.952,0.0,633.952,24.33,36.55,3.707,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf43.ivf
svtav1,Beauty,LDP,p5,crf=43,decode,600,0.314,14.286,0.0,14.286,24.42,36.81,3.707,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf43.ivf
svtav1,Beauty,LDP,p5,crf=51,encode,600,12.656,621.561,0.0,621.561,24.3,37.05,1.84,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf51.ivf
svtav1,Beauty,LDP,p5,crf=51,decode,600,0.309,12.563,0.0,12.563,24.37,36.86,1.84,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_crf51.ivf
svtav1,Beauty,RA,p5,crf=27,encode,600,5.339,504.823,0.0,504.823,24.3,36.57,8.89,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf27.ivf
svtav1,Beauty,RA,p5,crf=27,decode,600,0.408,19.826,0.0,19.826,24.63,36.55,8.89,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf27.ivf
svtav1,Beauty,RA,p5,crf=35,encode,600,4.954,457.829,0.0,457.829,24.34,36.85,4.93,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf35.ivf
svtav1,Beauty,RA,p5,crf=35,decode,600,0.321,14.582,0.0,14.582,24.61,36.85,4.93,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf35.ivf
svtav1,Beauty,RA,p5,crf=43,encode,600,4.575,412.301,0.0,412.301,24.52,36.94,2.839,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf43.ivf
svtav1,Beauty,RA,p5,crf=43,decode,600,0.327,13.036,0.0,13.036,24.62,36.68,2.839,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf43.ivf
svtav1,Beauty,RA,p5,crf=51,encode,600,5.265,488.849,0.0,488.849,24.39,37.21,1.703,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf51.ivf
svtav1,Beauty,RA,p5,crf=51,decode,600,0.315,12.222,0.0,12.222,24.69,37.1,1.703,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_crf51.ivf
svtav1,Bosphorus,LDP,p5,crf=27,encode,600,16.446,749.717,0.0,749.717,24.39,37.22,18.659,/home/user/tesi/bitstreams_video/svtav1_Bosphorus_LDP_crf27.ivf
svtav1,Bosphorus,LDP,p5,crf=27,decode,600,0.726,30.825,0.0,30.825,24.41,37.28,18.659,/home/user/tesi/bitstreams_video/svtav1_Bosphorus_LDP_crf27.ivf
svtav1,Bosphorus,LDP,p5,crf=35,encode,600,14.797,686.533,0.0,686.533,24.32,37.09,8.519,/home/user/tesi/bitstreams_video/svtav1_Bosphorus_LDP_crf35.ivf
svtav1,Bosphorus,LDP,p5,crf=35,decode,600,0.477,20.899,0.0,20.899,23.95,36.51,8.519,/home/user/tesi/bitstreams_video/svtav1_Bosphorus_LDP_crf35.ivf
svtav1,Bosphorus,LDP,p5,crf=43,encode,600,13.966,647.708,0.0,647.708,24.27,36.6,3.977,/home/user/tesi/bitstreams_video/svtav1_Bosphorus_LDP_crf43.ivf
