codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
svtav1,Beauty,LDP,p5,crf=27,89.984,40.156,39.747,41.88,40.321,0.92008,0.98262,600
svtav1,Beauty,LDP,p5,crf=35,85.249,39.387,39.266,41.47,39.632,0.90769,0.97785,600
svtav1,Beauty,LDP,p5,crf=43,77.59,38.649,39.045,41.138,39.01,0.89937,0.97313,600
svtav1,Beauty,LDP,p5,crf=51,66.687,37.714,38.815,40.725,38.228,0.89049,0.96689,600
svtav1,Beauty,RA,p5,crf=27,87.004,39.538,39.312,41.611,39.769,0.90878,0.97854,600
svtav1,Beauty,RA,p5,crf=35,82.602,39.163,39.209,41.459,39.456,0.90487,0.97643,600
svtav1,Beauty,RA,p5,crf=43,76.431,38.644,39.117,41.307,39.036,0.89983,0.97335,600
svtav1,Beauty,RA,p5,crf=51,69.22,38.02,39.02,41.14,38.535,0.89411,0.96931,600
svtav1,Bosphorus,LDP,p5,crf=27,93.631,43.506,46.637,46.365,44.255,0.97677,0.9931,600
svtav1,Bosphorus,LDP,p5,crf=35,88.936,41.481,45.308,45.111,42.413,0.96651,0.98855,600
svtav1,Bosphorus,LDP,p5,crf=43,81.803,39.431,43.911,43.726,40.528,0.95101,0.98086,600
svtav1,Bosphorus,LDP,p5,crf=51,72.035,37.478,42.682,42.453,38.751,0.93031,0.96901,600
svtav1,Bosphorus,RA,p5,crf=27,92.668,43.22,46.998,46.503,44.103,0.97611,0.99295,600
svtav1,Bosphorus,RA,p5,crf=35,89.392,41.928,46.489,46.024,43.01,0.9705,0.99057,600
svtav1,Bosphorus,RA,p5,crf=43,85.33,40.695,46.1,45.561,41.979,0.96335,0.98734,600
svtav1,Bosphorus,RA,p5,crf=51,80.893,39.553,45.568,45.003,40.986,0.95456,0.98309,600
svtav1,HoneyBee,LDP,p5,crf=27,93.186,43.076,44.302,44.464,43.403,0.97006,0.99392,600
svtav1,HoneyBee,LDP,p5,crf=35,91.39,42.432,43.16,43.709,42.682,0.96701,0.99276,600
svtav1,HoneyBee,LDP,p5,crf=43,88.145,41.46,41.749,42.85,41.67,0.96226,0.99075,600
