codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path,codec_label,reference_preset
x264,AVC,Beauty,LDP,medium,crf=22,600,0,1,10.396,80.28,38.57,39.014,41.19,38.953,0.89681,0.97222,1.725,182.568,0.0,182.568,24.36,36.22,0.249,13.306,0.0,13.306,24.63,35.9,195.874,0.0,195.874,0.1959,0.326,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf22.264,x264 medium,medium
x264,AVC,Beauty,LDP,medium,crf=27,600,0,1,4.645,68.242,37.45,38.844,40.871,38.052,0.88596,0.96467,1.404,132.213,0.0,132.213,24.38,35.82,0.19,9.715,0.0,9.715,24.52,36.14,141.928,0.0,141.928,0.1419,0.237,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf27.264,x264 medium,medium
x264,AVC,Beauty,LDP,medium,crf=32,600,0,1,2.639,52.936,35.707,38.478,40.27,36.624,0.86786,0.94931,1.321,116.213,0.0,116.213,24.2,36.31,0.174,8.275,0.0,8.275,24.73,36.14,124.488,0.0,124.488,0.1245,0.207,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf32.264,x264 medium,medium
x264,AVC,Beauty,LDP,medium,crf=37,600,0,1,1.575,36.565,33.454,38.053,39.589,34.796,0.84372,0.92386,1.273,105.314,0.0,105.314,24.25,36.56,0.162,7.421,0.0,7.421,24.55,36.47,112.735,0.0,112.735,0.1127,0.188,/home/user/tesi/bitstreams_video/x264_Beauty_LDP_crf37.264,x264 medium,medium
x264,AVC,Bosphorus,LDP,medium,crf=22,600,0,1,9.793,85.759,40.107,43.888,43.852,41.048,0.95549,0.98461,1.75,182.321,0.0,182.321,24.48,36.24,0.243,14.534,0.0,14.534,24.56,36.21,196.855,0.0,196.855,0.1969,0.328,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf22.264,x264 medium,medium
x264,AVC,Bosphorus,LDP,medium,crf=27,600,0,1,4.577,72.999,37.21,42.482,42.397,38.517,0.92603,0.96905,1.345,130.272,0.0,130.272,24.23,36.22,0.201,11.094,0.0,11.094,24.49,35.78,141.366,0.0,141.366,0.1414,0.236,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf27.264,x264 medium,medium
x264,AVC,Bosphorus,LDP,medium,crf=32,600,0,1,2.394,56.084,34.42,41.142,40.892,36.069,0.88383,0.94082,1.227,110.331,0.0,110.331,24.17,35.57,0.177,9.302,0.0,9.302,24.59,35.91,119.633,0.0,119.633,0.1196,0.199,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf32.264,x264 medium,medium
x264,AVC,Bosphorus,LDP,medium,crf=37,600,0,1,1.378,37.699,31.759,40.069,39.709,33.791,0.82662,0.8892,1.185,100.265,0.0,100.265,24.22,36.29,0.164,7.637,0.0,7.637,24.47,36.28,107.902,0.0,107.902,0.1079,0.18,/home/user/tesi/bitstreams_video/x264_Bosphorus_LDP_crf37.264,x264 medium,medium
x264,AVC,HoneyBee,LDP,medium,crf=22,600,0,1,1.914,86.581,40.669,40.955,42.511,40.935,0.95617,0.98905,1.237,104.434,0.0,104.434,24.23,35.92,0.157,6.051,0.0,6.051,24.45,36.07,110.485,0.0,110.485,0.1105,0.184,/home/user/tesi/bitstreams_video/x264_HoneyBee_LDP_crf22.264,x264 medium,medium
x264,AVC,HoneyBee,LDP,medium,crf=27,600,0,1,0.918,78.148,38.774,38.898,41.212,39.094,0.94312,0.98299,1.207,93.289,0.0,93.289,24.51,36.26,0.145,5.04,0.0,5.04,24.51,36.3,98.329,0.0,98.329,0.0983,0.164,/home/user/tesi/bitstreams_video/x264_HoneyBee_LDP_crf27.264,x264 medium,medium
x264,AVC,HoneyBee,LDP,medium,crf=32,600,0,1,0.886,64.141,36.118,37.16,39.871,36.718,0.91793,0.96902,1.223,99.157,0.0,99.157,24.27,36.12,0.15,5.813,0.0,5.813,24.46,36.37,104.97,0.0,104.97,0.105,0.175,/home/user/tesi/bitstreams_video/x264_HoneyBee_LDP_crf32.264,x264 medium,medium
x264,AVC,HoneyBee,LDP,medium,crf=37,600,0,1,0.633,44.315,33.283,36.005,38.737,34.305,0.88003,0.94047,1.216,94.856,0.0,94.856,24.24,35.84,0.148,5.626,0.0,5.626,24.73,36.0,100.482,0.0,100.482,0.1005,0.167,/home/user/tesi/bitstreams_video/x264_HoneyBee_LDP_crf37.264,x264 medium,medium
