codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
vvenc,Beauty,LDP,crf=27,encode,600,172.659,12525.808,0.0,12525.808,24.83,37.07,4.387,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf27.266
vvenc,Beauty,LDP,crf=27,decode,600,1.243,115.981,0.0,115.981,24.73,37.17,4.387,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf27.266
vvenc,Beauty,LDP,crf=33,encode,600,96.007,6800.948,0.0,6800.948,24.53,37.04,1.72,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf33.266
vvenc,Beauty,LDP,crf=33,decode,600,1.108,99.838,0.0,99.838,24.65,36.69,1.72,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf33.266
vvenc,Beauty,LDP,crf=39,encode,600,65.607,4661.573,0.0,4661.573,24.61,36.71,0.766,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf39.266
vvenc,Beauty,LDP,crf=39,decode,600,1.049,91.858,0.0,91.858,24.92,36.52,0.766,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf39.266
vvenc,Beauty,LDP,crf=45,encode,600,43.732,3003.882,0.0,3003.882,24.65,36.94,0.306,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf45.266
vvenc,Beauty,LDP,crf=45,decode,600,0.979,82.414,0.0,82.414,24.63,36.14,0.306,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf45.266
vvenc,Beauty,RA,crf=27,encode,600,173.261,12655.291,0.0,12655.291,24.57,36.36,4.387,/dev/shm/bitstreams/vvenc_Beauty_RA_crf27.266
vvenc,Beauty,RA,crf=27,decode,600,1.251,115.954,0.0,115.954,24.49,36.58,4.387,/dev/shm/bitstreams/vvenc_Beauty_RA_crf27.266
vvenc,Beauty,RA,crf=33,encode,600,95.894,6774.924,0.0,6774.924,24.65,36.86,1.72,/dev/shm/bitstreams/vvenc_Beauty_RA_crf33.266
vvenc,Beauty,RA,crf=33,decode,600,1.113,99.594,0.0,99.594,24.57,36.91,1.72,/dev/shm/bitstreams/vvenc_Beauty_RA_crf33.266
vvenc,Beauty,RA,crf=39,encode,600,65.66,4674.017,0.0,4674.017,24.57,37.12,0.766,/dev/shm/bitstreams/vvenc_Beauty_RA_crf39.266
vvenc,Beauty,RA,crf=39,decode,600,1.051,92.328,0.0,92.328,24.55,37.07,0.766,/dev/shm/bitstreams/vvenc_Beauty_RA_crf39.266
vvenc,Beauty,RA,crf=45,encode,600,43.908,3010.739,0.0,3010.739,24.59,36.91,0.306,/dev/shm/bitstreams/vvenc_Beauty_RA_crf45.266
vvenc,Beauty,RA,crf=45,decode,600,0.981,82.134,0.0,82.134,24.61,37.07,0.306,/dev/shm/bitstreams/vvenc_Beauty_RA_crf45.266
vvenc,Bosphorus,LDP,crf=27,encode,600,186.97,12086.455,0.0,12086.455,24.64,37.17,7.72,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf27.266
vvenc,Bosphorus,LDP,crf=27,decode,600,1.425,127.187,0.0,127.187,24.77,36.86,7.72,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf27.266
vvenc,Bosphorus,LDP,crf=33,encode,600,120.681,7385.062,0.0,7385.062,24.59,36.79,2.979,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf33.266
vvenc,Bosphorus,LDP,crf=33,decode,600,1.17,104.487,0.0,104.487,24.53,36.9,2.979,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf33.266
vvenc,Bosphorus,LDP,crf=39,encode,600,84.682,5181.618,0.0,5181.618,24.61,36.59,1.29,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf39.266
vvenc,Bosphorus,LDP,crf=39,decode,600,1.075,94.239,0.0,94.239,24.62,36.69,1.29,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf39.266
vvenc,Bosphorus,LDP,crf=45,encode,600,55.054,3399.838,0.0,3399.838,24.59,36.67,0.498,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf45.266
vvenc,Bosphorus,LDP,crf=45,decode,600,1.007,87.454,0.0,87.454,24.6,36.82,0.498,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf45.266
vvenc,Bosphorus,RA,crf=27,encode,600,186.743,12044.929,0.0,12044.929,24.79,36.5,7.72,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf27.266
vvenc,Bosphorus,RA,crf=27,decode,600,1.433,127.808,0.0,127.808,24.68,36.8,7.72,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf27.266
vvenc,Bosphorus,RA,crf=33,encode,600,120.419,7392.036,0.0,7392.036,24.59,36.8,2.979,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf33.266
vvenc,Bosphorus,RA,crf=33,decode,600,1.179,104.386,0.0,104.386,24.58,37.12,2.979,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf33.266
vvenc,Bosphorus,RA,crf=39,encode,600,84.498,5165.069,0.0,5165.069,24.86,36.86,1.29,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf39.266
vvenc,Bosphorus,RA,crf=39,decode,600,1.07,93.981,0.0,93.981,24.57,36.93,1.29,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf39.266
vvenc,Bosphorus,RA,crf=45,encode,600,55.463,3480.148,0.0,3480.148,24.61,37.24,0.498,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf45.266
vvenc,Bosphorus,RA,crf=45,decode,600,1.017,87.431,0.0,87.431,26.23,36.86,0.498,/dev/shm/bitstreams/vvenc_Bosphorus_RA_crf45.266
vvenc,HoneyBee,LDP,crf=27,encode,600,61.767,4652.269,0.0,4652.269,25.81,36.6,1.544,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf27.266
vvenc,HoneyBee,LDP,crf=27,decode,600,1.117,86.73,0.0,86.73,24.95,34.93,1.544,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf27.266
vvenc,HoneyBee,LDP,crf=33,encode,600,41.794,3128.254,0.0,3128.254,24.53,34.75,0.755,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf33.266
vvenc,HoneyBee,LDP,crf=33,decode,600,1.005,71.97,0.0,71.97,24.57,34.95,0.755,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf33.266
vvenc,HoneyBee,LDP,crf=39,encode,600,33.104,2573.368,0.0,2573.368,24.82,35.3,0.453,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf39.266
vvenc,HoneyBee,LDP,crf=39,decode,600,0.962,68.531,0.0,68.531,24.63,35.42,0.453,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf39.266
vvenc,HoneyBee,LDP,crf=45,encode,600,24.479,1899.669,0.0,1899.669,24.74,35.25,0.259,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf45.266
vvenc,HoneyBee,LDP,crf=45,decode,600,0.937,66.685,0.0,66.685,24.66,34.36,0.259,/dev/shm/bitstreams/vvenc_HoneyBee_LDP_crf45.266
vvenc,HoneyBee,RA,crf=27,encode,600,61.322,4528.615,0.0,4528.615,24.93,34.86,1.544,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf27.266
vvenc,HoneyBee,RA,crf=27,decode,600,1.111,87.113,0.0,87.113,24.91,35.31,1.544,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf27.266
vvenc,HoneyBee,RA,crf=33,encode,600,41.842,3131.071,0.0,3131.071,24.59,35.79,0.755,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf33.266
vvenc,HoneyBee,RA,crf=33,decode,600,1.006,72.097,0.0,72.097,24.64,34.98,0.755,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf33.266
vvenc,HoneyBee,RA,crf=39,encode,600,33.224,2575.955,0.0,2575.955,24.79,35.72,0.453,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf39.266
vvenc,HoneyBee,RA,crf=39,decode,600,0.964,68.684,0.0,68.684,24.55,35.7,0.453,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf39.266
vvenc,HoneyBee,RA,crf=45,encode,600,24.441,1893.939,0.0,1893.939,24.76,35.77,0.259,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf45.266
vvenc,HoneyBee,RA,crf=45,decode,600,0.946,67.637,0.0,67.637,24.68,35.84,0.259,/dev/shm/bitstreams/vvenc_HoneyBee_RA_crf45.266
vvenc,Jockey,LDP,crf=27,encode,600,127.303,9839.131,0.0,9839.131,24.83,36.06,4.424,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf27.266
vvenc,Jockey,LDP,crf=27,decode,600,1.289,120.935,0.0,120.935,24.65,35.65,4.424,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf27.266
vvenc,Jockey,LDP,crf=33,encode,600,84.086,6448.381,0.0,6448.381,24.57,35.48,2.033,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf33.266
vvenc,Jockey,LDP,crf=33,decode,600,1.152,103.03,0.0,103.03,24.64,36.04,2.033,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf33.266
vvenc,Jockey,LDP,crf=39,encode,600,61.271,4713.327,0.0,4713.327,24.6,36.14,1.034,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf39.266
vvenc,Jockey,LDP,crf=39,decode,600,1.064,91.024,0.0,91.024,24.69,35.03,1.034,/dev/shm/bitstreams/vvenc_Jockey_LDP_crf39.266
