codec,seq,profile,preset,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
vvenc,Beauty,LDP,medium,crf=27,85.509,39.434,39.411,41.808,39.728,0.90809,0.97781,600
vvenc,Beauty,LDP,medium,crf=33,75.017,38.516,39.243,41.513,38.982,0.89948,0.97242,600
vvenc,Beauty,LDP,medium,crf=39,61.979,37.277,39.014,41.105,37.972,0.88874,0.96382,600
vvenc,Beauty,LDP,medium,crf=45,44.04,35.358,38.649,40.556,36.419,0.87367,0.94773,600
vvenc,Beauty,RA,medium,crf=27,85.509,39.434,39.411,41.808,39.728,0.90809,0.97781,600
vvenc,Beauty,RA,medium,crf=33,75.017,38.516,39.243,41.513,38.982,0.89948,0.97242,600
vvenc,Beauty,RA,medium,crf=39,61.979,37.277,39.014,41.105,37.972,0.88874,0.96382,600
vvenc,Beauty,RA,medium,crf=45,44.04,35.358,38.649,40.556,36.419,0.87367,0.94773,600
vvenc,Bosphorus,LDP,medium,crf=27,92.778,43.79,49.147,48.204,45.011,0.97914,0.99376,600
vvenc,Bosphorus,LDP,medium,crf=33,86.608,41.187,47.625,46.832,42.697,0.96643,0.98823,600
vvenc,Bosphorus,LDP,medium,crf=39,77.818,38.83,46.032,45.308,40.54,0.94752,0.97874,600
vvenc,Bosphorus,LDP,medium,crf=45,63.062,36.164,44.109,43.373,38.058,0.91561,0.95896,600
vvenc,Bosphorus,RA,medium,crf=27,92.778,43.79,49.147,48.204,45.011,0.97914,0.99376,600
vvenc,Bosphorus,RA,medium,crf=33,86.608,41.187,47.625,46.832,42.697,0.96643,0.98823,600
vvenc,Bosphorus,RA,medium,crf=39,77.818,38.83,46.032,45.308,40.54,0.94752,0.97874,600
vvenc,Bosphorus,RA,medium,crf=45,63.062,36.164,44.109,43.373,38.058,0.91561,0.95896,600
vvenc,HoneyBee,LDP,medium,crf=27,94.075,43.419,45.304,44.955,43.847,0.9716,0.99422,600
vvenc,HoneyBee,LDP,medium,crf=33,92.046,42.642,43.561,43.947,42.92,0.9684,0.99297,600
vvenc,HoneyBee,LDP,medium,crf=39,88.0,41.449,41.453,42.721,41.608,0.96289,0.9906,600
vvenc,HoneyBee,LDP,medium,crf=45,78.791,39.417,38.454,40.978,39.492,0.95071,0.98441,600
vvenc,HoneyBee,RA,medium,crf=27,94.075,43.419,45.304,44.955,43.847,0.9716,0.99422,600
vvenc,HoneyBee,RA,medium,crf=33,92.046,42.642,43.561,43.947,42.92,0.9684,0.99297,600
vvenc,HoneyBee,RA,medium,crf=39,88.0,41.449,41.453,42.721,41.608,0.96289,0.9906,600
vvenc,HoneyBee,RA,medium,crf=45,78.791,39.417,38.454,40.978,39.492,0.95071,0.98441,600
vvenc,Jockey,LDP,medium,crf=27,95.959,42.716,44.856,44.469,43.202,0.96375,0.98982,600
vvenc,Jockey,LDP,medium,crf=33,87.074,40.622,43.14,42.906,41.222,0.95424,0.98325,600
vvenc,Jockey,LDP,medium,crf=39,72.511,38.071,41.185,41.036,38.831,0.93988,0.9707,600
vvenc,Jockey,LDP,medium,crf=45,51.812,34.339,39.313,39.1,35.556,0.9141,0.9374,600
vvenc,Jockey,RA,medium,crf=27,95.959,42.716,44.856,44.469,43.202,0.96375,0.98982,600
vvenc,Jockey,RA,medium,crf=33,87.074,40.622,43.14,42.906,41.222,0.95424,0.98325,600
vvenc,Jockey,RA,medium,crf=39,72.511,38.071,41.185,41.036,38.831,0.93988,0.9707,600
