codec,seq,profile,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
x264,ReadySteadyGo,RA,crf=22,98.775,38.704,42.136,42.184,39.568,0.96798,0.99163,600
x264,Jockey,RA,crf=37,49.013,33.512,39.781,39.802,35.082,0.89026,0.91858,600
x264,Bosphorus,RA,crf=37,43.25,33.255,41.283,40.99,35.226,0.86149,0.9207,600
x264,HoneyBee,LDP,crf=37,44.315,33.283,36.005,38.737,34.305,0.88003,0.94047,600
x264,ShakeNDry,LDP,crf=32,47.443,32.544,38.238,39.631,34.141,0.83829,0.92098,300
x264,YachtRide,RA,crf=27,71.685,34.401,41.864,40.806,36.134,0.91478,0.96499,600
x264,ShakeNDry,LDP,crf=22,82.297,38.066,41.05,41.781,38.903,0.93963,0.98111,300
x264,Beauty,RA,crf=37,39.427,34.221,38.229,39.772,35.416,0.85595,0.93461,600
x264,Jockey,LDP,crf=37,50.918,33.637,39.85,39.794,35.183,0.88961,0.92188,600
x264,Bosphorus,LDP,crf=37,37.699,31.759,40.069,39.709,33.791,0.82662,0.8892,600
x264,HoneyBee,LDP,crf=32,64.141,36.118,37.16,39.871,36.718,0.91793,0.96902,600
x264,YachtRide,RA,crf=22,85.793,37.399,42.999,42.008,38.675,0.95069,0.98309,600
x264,YachtRide,RA,crf=32,53.538,31.703,40.881,39.78,33.86,0.86116,0.93074,600
x264,Beauty,LDP,crf=22,80.28,38.57,39.014,41.19,38.953,0.89681,0.97222,600
x264,Beauty,RA,crf=22,81.052,38.694,38.962,41.222,39.044,0.8987,0.97304,600
x264,HoneyBee,RA,crf=27,84.483,40.368,41.318,42.634,40.77,0.95542,0.98799,600
x264,Beauty,LDP,crf=32,52.936,35.707,38.478,40.27,36.624,0.86786,0.94931,600
x264,HoneyBee,LDP,crf=22,86.581,40.669,40.955,42.511,40.935,0.95617,0.98905,600
x264,YachtRide,LDP,crf=27,70.793,34.184,41.205,40.15,35.807,0.90804,0.96174,600
x264,Jockey,RA,crf=27,82.603,39.068,42.433,42.392,39.904,0.94102,0.97662,600
x264,Bosphorus,RA,crf=27,76.135,38.178,43.827,43.724,39.577,0.9399,0.97653,600
x264,HoneyBee,RA,crf=22,90.117,41.64,43.118,43.744,42.087,0.96231,0.99117,600
x264,Beauty,LDP,crf=37,36.565,33.454,38.053,39.589,34.796,0.84372,0.92386,600
x264,HoneyBee,LDP,crf=27,78.148,38.774,38.898,41.212,39.094,0.94312,0.98299,600
x264,ReadySteadyGo,LDP,crf=22,98.654,38.011,41.339,41.459,38.858,0.96295,0.99027,600
x264,ShakeNDry,RA,crf=37,42.748,32.007,38.08,39.538,33.707,0.83344,0.90875,300
x264,ReadySteadyGo,LDP,crf=27,89.974,34.916,39.89,40.106,36.187,0.93598,0.97983,600
x264,HoneyBee,RA,crf=32,75.321,38.601,39.542,41.409,39.069,0.94315,0.98164,600
x264,ShakeNDry,LDP,crf=27,67.464,35.231,39.595,40.699,36.46,0.89687,0.95941,300
x264,Beauty,RA,crf=32,55.553,36.227,38.605,40.502,37.058,0.87538,0.9551,600
x264,Jockey,LDP,crf=32,67.87,36.397,41.002,40.94,37.54,0.91823,0.95689,600
x264,Bosphorus,LDP,crf=32,56.084,34.42,41.142,40.892,36.069,0.88383,0.94082,600
x264,ReadySteadyGo,LDP,crf=37,53.938,29.105,37.608,37.98,31.277,0.8328,0.9208,600
x264,Jockey,LDP,crf=22,93.492,40.91,43.511,43.342,41.539,0.95322,0.98568,600
x264,Bosphorus,LDP,crf=22,85.759,40.107,43.888,43.852,41.048,0.95549,0.98461,600
x264,HoneyBee,RA,crf=37,60.469,36.338,37.871,40.105,37.001,0.92189,0.96844,600
x264,YachtRide,LDP,crf=37,32.038,28.559,39.245,37.985,31.073,0.77002,0.85161,600
x264,ReadySteadyGo,RA,crf=32,77.356,32.832,39.248,39.572,34.476,0.91017,0.96642,600
x264,YachtRide,RA,crf=37,35.411,29.266,39.933,38.755,31.786,0.79337,0.87298,600
x264,Beauty,RA,crf=27,70.07,37.757,38.896,40.994,38.304,0.89014,0.96741,600
x264,Beauty,LDP,crf=27,68.242,37.45,38.844,40.871,38.052,0.88596,0.96467,600
x264,ReadySteadyGo,LDP,crf=32,73.598,31.969,38.65,38.968,33.679,0.89307,0.95931,600
x264,Jockey,LDP,crf=27,82.915,38.834,42.285,42.229,39.69,0.93944,0.97618,600
x264,Bosphorus,LDP,crf=27,72.999,37.21,42.482,42.397,38.517,0.92603,0.96905,600
x264,YachtRide,LDP,crf=32,50.167,31.2,40.179,39.063,33.305,0.84519,0.92026,600
x264,ReadySteadyGo,RA,crf=37,58.493,29.95,38.063,38.486,32.031,0.85609,0.93363,600
x264,ShakeNDry,RA,crf=27,72.68,36.342,40.781,41.609,37.555,0.91732,0.96763,300
x264,YachtRide,LDP,crf=22,86.454,37.369,42.317,41.35,38.485,0.9488,0.98261,600
x264,Jockey,RA,crf=22,93.432,41.079,43.674,43.486,41.704,0.95397,0.98586,600
x264,Bosphorus,RA,crf=22,86.018,40.612,45.217,45.074,41.746,0.96189,0.98743,600
x264,ReadySteadyGo,RA,crf=27,92.214,35.758,40.592,40.771,36.989,0.94618,0.98326,600
x264,Jockey,RA,crf=32,66.465,36.506,41.088,41.097,37.652,0.91975,0.95608,600
