codec,seq,profile,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
x265,Beauty,LDP,crf=22,encode,600,6.991,530.066,0.0,530.066,24.5,36.43,7.853,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf22.265
x265,Beauty,LDP,crf=22,decode,600,0.707,32.221,0.0,32.221,24.78,36.11,7.853,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf22.265
x265,Beauty,LDP,crf=27,encode,600,5.059,363.82,0.0,363.82,24.55,36.15,3.581,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf27.265
x265,Beauty,LDP,crf=27,decode,600,0.528,24.079,0.0,24.079,24.63,36.22,3.581,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf27.265
x265,Beauty,LDP,crf=32,encode,600,3.741,272.943,0.0,272.943,24.66,36.04,1.821,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf32.265
x265,Beauty,LDP,crf=32,decode,600,0.454,21.152,0.0,21.152,24.72,36.56,1.821,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf32.265
x265,Beauty,LDP,crf=37,encode,600,2.734,203.644,0.0,203.644,24.52,36.51,0.864,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf37.265
x265,Beauty,LDP,crf=37,decode,600,0.401,17.891,0.0,17.891,24.67,36.18,0.864,/home/user/tesi/bitstreams_video/x265_Beauty_LDP_crf37.265
x265,Beauty,RA,crf=22,encode,600,8.171,801.477,0.0,801.477,24.81,36.51,6.329,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf22.265
x265,Beauty,RA,crf=22,decode,600,0.414,26.985,0.0,26.985,24.65,36.08,6.329,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf22.265
x265,Beauty,RA,crf=27,encode,600,6.93,661.909,0.0,661.909,24.53,36.32,3.062,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf27.265
x265,Beauty,RA,crf=27,decode,600,0.389,21.829,0.0,21.829,24.69,35.89,3.062,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf27.265
x265,Beauty,RA,crf=32,encode,600,6.371,575.004,0.0,575.004,24.48,35.81,1.557,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf32.265
x265,Beauty,RA,crf=32,decode,600,0.369,20.154,0.0,20.154,24.7,36.22,1.557,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf32.265
x265,Beauty,RA,crf=37,encode,600,5.96,509.854,0.0,509.854,24.57,36.01,0.781,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf37.265
x265,Beauty,RA,crf=37,decode,600,0.365,18.641,0.0,18.641,24.61,36.04,0.781,/home/user/tesi/bitstreams_video/x265_Beauty_RA_crf37.265
x265,Bosphorus,LDP,crf=22,encode,600,7.05,539.568,0.0,539.568,24.51,36.33,10.448,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf22.265
x265,Bosphorus,LDP,crf=22,decode,600,0.937,37.866,0.0,37.866,24.66,36.11,10.448,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf22.265
x265,Bosphorus,LDP,crf=27,encode,600,5.228,368.973,0.0,368.973,24.44,35.72,4.301,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf27.265
x265,Bosphorus,LDP,crf=27,decode,600,0.715,29.813,0.0,29.813,24.78,36.01,4.301,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf27.265
x265,Bosphorus,LDP,crf=32,encode,600,3.897,264.475,0.0,264.475,24.51,36.23,1.805,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf32.265
x265,Bosphorus,LDP,crf=32,decode,600,0.555,22.842,0.0,22.842,24.7,35.79,1.805,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf32.265
x265,Bosphorus,LDP,crf=37,encode,600,2.805,196.256,0.0,196.256,24.48,35.13,0.751,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf37.265
x265,Bosphorus,LDP,crf=37,decode,600,0.438,18.561,0.0,18.561,24.97,34.69,0.751,/home/user/tesi/bitstreams_video/x265_Bosphorus_LDP_crf37.265
x265,Bosphorus,RA,crf=22,encode,600,7.451,674.189,0.0,674.189,24.59,35.09,7.398,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf22.265
x265,Bosphorus,RA,crf=22,decode,600,0.579,30.272,0.0,30.272,24.64,35.91,7.398,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf22.265
x265,Bosphorus,RA,crf=27,encode,600,6.622,574.985,0.0,574.985,24.18,35.57,3.364,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf27.265
x265,Bosphorus,RA,crf=27,decode,600,0.461,24.548,0.0,24.548,24.65,36.33,3.364,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf27.265
x265,Bosphorus,RA,crf=32,encode,600,6.436,520.894,0.0,520.894,24.46,36.26,1.561,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf32.265
x265,Bosphorus,RA,crf=32,decode,600,0.389,21.912,0.0,21.912,24.63,37.59,1.561,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf32.265
x265,Bosphorus,RA,crf=37,encode,600,5.903,487.411,0.0,487.411,24.45,35.94,0.758,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf37.265
x265,Bosphorus,RA,crf=37,decode,600,0.382,19.459,0.0,19.459,24.65,36.03,0.758,/home/user/tesi/bitstreams_video/x265_Bosphorus_RA_crf37.265
x265,HoneyBee,LDP,crf=22,encode,600,2.822,210.246,0.0,210.246,24.62,35.97,1.362,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf22.265
x265,HoneyBee,LDP,crf=22,decode,600,0.404,17.472,0.0,17.472,24.63,36.03,1.362,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf22.265
x265,HoneyBee,LDP,crf=27,encode,600,2.646,175.761,0.0,175.761,24.33,36.37,0.472,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf27.265
x265,HoneyBee,LDP,crf=27,decode,600,0.357,15.241,0.0,15.241,24.47,35.87,0.472,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf27.265
x265,HoneyBee,LDP,crf=32,encode,600,2.575,162.029,0.0,162.029,24.51,36.12,0.282,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf32.265
x265,HoneyBee,LDP,crf=32,decode,600,0.366,14.977,0.0,14.977,24.56,36.23,0.282,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf32.265
x265,HoneyBee,LDP,crf=37,encode,600,2.578,157.909,0.0,157.909,24.34,35.34,0.202,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf37.265
x265,HoneyBee,LDP,crf=37,decode,600,0.343,14.122,0.0,14.122,24.5,36.21,0.202,/home/user/tesi/bitstreams_video/x265_HoneyBee_LDP_crf37.265
x265,HoneyBee,RA,crf=22,encode,600,5.984,481.613,0.0,481.613,24.44,36.48,2.363,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf22.265
x265,HoneyBee,RA,crf=22,decode,600,0.41,18.436,0.0,18.436,24.67,36.12,2.363,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf22.265
x265,HoneyBee,RA,crf=27,encode,600,6.201,452.41,0.0,452.41,24.41,36.16,1.234,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf27.265
x265,HoneyBee,RA,crf=27,decode,600,0.387,16.462,0.0,16.462,24.76,36.53,1.234,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf27.265
x265,HoneyBee,RA,crf=32,encode,600,6.572,450.072,0.0,450.072,24.41,36.29,0.794,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf32.265
x265,HoneyBee,RA,crf=32,decode,600,0.383,16.324,0.0,16.324,24.5,36.28,0.794,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf32.265
x265,HoneyBee,RA,crf=37,encode,600,6.711,442.05,0.0,442.05,24.36,36.43,0.541,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf37.265
x265,HoneyBee,RA,crf=37,decode,600,0.375,15.695,0.0,15.695,24.6,36.56,0.541,/home/user/tesi/bitstreams_video/x265_HoneyBee_RA_crf37.265
x265,Jockey,LDP,crf=22,encode,600,6.559,533.743,0.0,533.743,24.38,36.29,7.553,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf22.265
x265,Jockey,LDP,crf=22,decode,600,0.716,32.205,0.0,32.205,24.64,36.22,7.553,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf22.265
x265,Jockey,LDP,crf=27,encode,600,5.097,404.85,0.0,404.85,24.51,36.18,4.06,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf27.265
x265,Jockey,LDP,crf=27,decode,600,0.592,27.211,0.0,27.211,24.55,35.86,4.06,/home/user/tesi/bitstreams_video/x265_Jockey_LDP_crf27.265
